trial,tsc,delta,rng,word,category
0,89765544935521,0,1147707480502541369,"observe",WAIT
1,89771851075788,6306140267,2036574708896896229,"hope",NO
2,89775085201578,3234125790,8324280593456728463,"water",WAIT
3,89777042212224,1957010646,2357980638239634721,"knowledge",YES
4,89778131759536,1089547312,17859346292360585852,"mystery",WAIT
5,89778916107379,784347843,9634264223342041605,"finish",YES
6,89779539193950,623086571,488141899607105753,"observe",WAIT
7,89780152504433,613310483,2329022247366554244,"reason",NO
8,89780694716154,542211721,11980624227936934343,"move",NO
9,89781195747618,501031464,4776193006162994003,"give",YES
10,89781679514501,483766883,9498781055690241638,"freedom",NO
11,89782149570211,470055710,203860099279923485,"continue",UNKNOWN
12,89783352573931,1203003720,2845544353200554727,"time",NO
13,89783424406346,71832415,7275105715107775259,"random",WAIT
14,89783495587259,71180913,1998454358553052476,"signal",UNKNOWN
15,89783566847190,71259931,1347775905028979624,"patience",YES
16,89783637191794,70344604,13844062968415513997,"look",UNKNOWN
17,89783712979692,75787898,12296800042376704364,"life",WAIT
18,89783786511846,73532154,13628341391991418150,"focus",WAIT
19,89783856000765,69488919,11984777455815787485,"signal",UNKNOWN
20,89783926353230,70352465,6939175639297454203,"unknown",YES
21,89784000910889,74557659,3735496640225008335,"beginning",NO
22,89784074359423,73448534,6115748626621802869,"trust",WAIT
23,89784145459430,71100007,8001307706820862666,"courage",WAIT
24,89784218062901,72603471,7226248287854735828,"learn",NO
25,89784288909603,70846702,2549946961443084447,"order",NO
26,89784363375640,74466037,6037584155526253117,"noise",YES
27,89784439921308,76545668,5246913007150176474,"discover",WAIT
28,89784507358818,67437510,586769478425935703,"rest",YES
29,89784582199356,74840538,4779853971640944031,"return",NO
30,89784651243129,69043773,10520509787658969962,"fall",WAIT
31,89784723844563,72601434,14061078306508879062,"machine",WAIT
32,89784796743132,72898569,12589864929659848854,"machine",WAIT
33,89784870024418,73281286,3048000664174358876,"mystery",UNKNOWN
34,89784941114333,71089915,9633515768056661166,"see",WAIT
35,89785016496541,75382208,3302567095983112511,"question",YES
36,89785087555858,71059317,3878414354679887453,"continue",WAIT
37,89785157973123,70417265,17896419024059249018,"remember",YES
38,89785234563487,76590364,1297905318844935164,"mystery",WAIT
39,89785303235114,68671627,15117772391495987592,"stand",UNKNOWN
40,89785377207800,73972686,12156908375310268489,"rise",UNKNOWN
41,89785451198308,73990508,1802587228294422858,"present",WAIT
42,89785526726944,75528636,9040357209092055892,"moon",UNKNOWN
43,89785595753253,69026309,13139044418641706003,"give",YES
44,89785667982175,72228922,1327976500810596414,"stop",YES
45,89785742374560,74392385,5221122975983702128,"end",NO
46,89785812614118,70239558,668831136689160038,"freedom",NO
47,89785889133283,76519165,8203629166386322217,"past",YES
48,89785958998266,69864983,11615227753350995499,"open",UNKNOWN
49,89786031553987,72555721,14997494454639974395,"unknown",UNKNOWN
50,89786105385742,73831755,7097969696814355416,"listen",YES
51,89786176230684,70844942,17162414979337615137,"question",NO
52,89786823057585,646826901,9858818906158215726,"see",NO
53,89787354246708,531189123,1108250399182224280,"measure",UNKNOWN
54,89787757678891,403432183,6711401074516296042,"present",NO
55,89788303125378,545446487,15240305531022933543,"time",NO
56,89789502583941,1199458563,17987480738053439225,"observe",NO
57,89789570743419,68159478,1014820775004855211,"world",YES
58,89789644311882,73568463,13852213792126943307,"open",YES
59,89789714033691,69721809,15347446630460049203,"give",YES
60,89789790249483,76215792,7358733952849904512,"pattern",YES
61,89789866346705,76097222,4697640538238379776,"search",UNKNOWN
62,89789932768519,66421814,6602741641603815085,"path",UNKNOWN
63,89790011139611,78371092,9905596842866404713,"strength",YES
64,89790083509654,72370043,13180704117033680152,"measure",WAIT
65,89790162123895,78614241,7822136864981707829,"computer",NO
66,89790232056860,69932965,8006967360837030682,"memory",UNKNOWN
67,89791353249242,1121192382,13891562090668577843,"give",NO
68,89792561285413,1208036171,1623051353751358914,"clock",YES
69,89792630268751,68983338,5404920583195049717,"computer",YES
70,89792705579679,75310928,5774234283351755575,"code",UNKNOWN
71,89792775717132,70137453,14546433880544715742,"answer",NO
72,89792847901085,72183953,15127642363559325469,"noise",WAIT
73,89792921591334,73690249,13813623643488530596,"faith",UNKNOWN
74,89792996448200,74856866,2666575598955691297,"knowledge",UNKNOWN
75,89793725024887,728576687,1864226461604736211,"create",YES
76,89794648279738,923254851,1667748972651893017,"speak",YES
77,89795958341985,1310062247,5353564116548361993,"strength",UNKNOWN
78,89796917736420,959394435,7515229964894468048,"know",NO
79,89797700904446,783168026,8997036673639558950,"love",WAIT
80,89799102910266,1402005820,15032425677914211971,"truth",WAIT
81,89800144425342,1041515076,8317059751210662980,"begin",UNKNOWN
82,89800909261115,764835773,14515025483235593533,"noise",NO
83,89801357509859,448248744,14032790315287640383,"return",UNKNOWN
84,89801769374132,411864273,8584815008666215000,"measure",YES
85,89802830919294,1061545162,1969468726239848350,"answer",WAIT
86,89803336178991,505259697,5219487705422142381,"death",UNKNOWN
87,89803620756228,284577237,16384538223609327491,"truth",UNKNOWN
88,89803893220110,272463882,14168168273252950167,"test",WAIT
89,89804145123402,251903292,9015684317344984079,"water",UNKNOWN
90,89804324371007,179247605,12995858138645689466,"remember",WAIT
91,89805085999620,761628613,3424244153085639279,"beginning",UNKNOWN
92,89805501502524,415502904,8537162839186716852,"take",WAIT
93,89805815792963,314290439,1658711029562681001,"strength",YES
94,89806129876433,314083470,5630516377237850593,"knowledge",UNKNOWN
95,89806372283665,242407232,7858634033951734364,"mystery",WAIT
96,89806984571519,612287854,18320075021377241889,"question",UNKNOWN
97,89807372772914,388201395,10660092293450353653,"study",WAIT
98,89807726761315,353988401,10679299607540543895,"test",UNKNOWN
99,89808569450749,842689434,2434440873166045382,"freedom",UNKNOWN
