index,tsc,delta,low16,low8
0,89672592534362,0,11098,90
1,89674753331984,2160797622,21264,16
2,89677346357533,2593025549,49437,29
3,89680687619156,3341261623,23636,84
4,89682149824169,1462205013,54953,169
5,89682492526824,342702655,4328,232
6,89682765634055,273107231,23047,7
7,89682983027449,217393394,33529,249
8,89683218787730,235760281,60818,146
9,89683447700873,228913143,56713,137
10,89683680791194,233090321,35482,154
11,89683936778278,255987084,38950,38
12,89684198982527,262204249,33663,127
13,89684404348366,205365839,9678,206
14,89686374592198,1970243832,44742,198
15,89688701510941,2326918743,42269,29
16,89690166150187,1464639246,17451,43
17,89690524355677,358205490,3165,93
18,89690781413429,257057752,28725,53
19,89691039150536,257737107,12744,200
20,89691262297824,223147288,9952,224
21,89691518073078,255775254,63734,246
22,89691792060593,273987515,45233,177
23,89692031500046,239439453,16142,14
24,89692299976797,268476751,57437,93
25,89692541781363,241804566,34163,115
26,89692824753066,282971703,21418,170
27,89693079282891,254529825,9419,203
28,89693333393086,254110195,36542,190
29,89693591808673,258415587,43681,161
30,89693867653446,275844773,47430,70
31,89694116664495,249011049,21679,175
32,89694405365310,288700815,36414,62
33,89694651538028,246172718,55916,108
34,89694926989284,275451256,59364,228
35,89695175886808,248897524,51160,216
36,89695421238747,245351939,36315,219
37,89695685287827,264049080,40851,147
38,89695941800635,256512808,45755,187
39,89696260236754,318436119,42450,210
40,89696789049522,528812768,45234,178
41,89699327690395,2538640873,18075,155
42,89703412640885,4084950490,44149,117
43,89710561196893,7148556008,64349,93
44,89713375383252,2814186359,3796,212
45,89714893009787,1517626535,13179,123
46,89716100729282,1207719495,35266,194
47,89716165622335,64893053,47679,63
48,89716240068297,74445962,44745,201
49,89716316301773,76233476,59853,205
50,89716385530040,69228267,16568,184
51,89716457833213,72303173,33533,253
52,89716529799550,71966337,41342,126
53,89716602759916,72960366,60140,236
54,89716678586224,75826308,61296,112
55,89716748810415,70224191,30895,175
56,89716820901501,72091086,32381,125
57,89716889855043,68953542,42051,67
58,89716966245269,76390226,17301,149
59,89717038041965,71796696,52077,109
60,89717111974972,73933007,60476,60
61,89717182328103,70353131,27943,39
62,89717252677555,70349452,57267,179
63,89717324874284,72196729,33324,44
64,89717404702206,79827922,38398,254
65,89717474009605,69307399,8709,5
66,89717544281480,70271875,25992,136
67,89717618104430,73822950,55406,110
68,89717691537046,73432616,22166,150
69,89717763944032,72406986,11872,96
70,89717835844643,71900611,19491,35
71,89717909603012,73758369,49860,196
72,89717978809457,69206445,50289,113
73,89718055096894,76287437,53822,62
74,89718125119447,70022553,18391,215
75,89718198260750,73141303,21518,14
76,89718269593875,71333125,51475,19
77,89718343677798,74083923,14182,102
78,89718414874720,71196922,39008,96
79,89718491955624,77080904,49576,168
80,89718562431625,70476001,8841,137
81,89718634327997,71896372,12221,189
82,89718704687968,70359971,52064,96
83,89718779252345,74564377,36473,121
84,89718850324105,71071760,1673,137
85,89718921587396,71263291,27332,196
86,89718997809084,76221688,30652,188
87,89719069326853,71517769,48645,5
88,89719143743343,74416490,16239,111
89,89719212133538,68390195,52386,162
90,89719286888032,74754494,30304,96
91,89719359643733,72755701,41045,85
92,89719430393118,70749385,11550,30
93,89719502511343,72118225,40175,239
94,89719578136873,75625530,37161,41
95,89719647625028,69488155,57156,68
96,89719720222873,72597845,41113,153
97,89719793088637,72865764,30845,125
98,89719866015408,72926771,16048,176
99,89721884233572,2018218164,53092,100
