bucket,count
0,3816
1,3657
2,3659
3,3712
4,3828
5,3698
6,3845
7,3886
8,3959
9,3968
10,3933
11,3920
12,3955
13,3906
14,3863
15,3897
16,3849
17,3768
18,4064
19,3796
20,3901
21,3887
22,3893
23,3946
24,3803
25,4023
26,3798
27,3927
28,3875
29,3813
30,3793
31,3801
32,3970
33,3909
34,3979
35,3933
36,3915
37,3853
38,3929
39,3824
40,3986
41,3875
42,3971
43,3978
44,3985
45,4068
46,4110
47,4011
48,3848
49,3877
50,3838
51,3852
52,3915
53,3799
54,3840
55,3785
56,3943
57,3859
58,3913
59,3934
60,3989
61,3849
62,3904
63,3885
64,3952
65,3966
66,4126
67,3984
68,4107
69,4090
70,4098
71,4188
72,3736
73,3942
74,3924
75,3785
76,3767
77,3787
78,3763
79,3708
80,3800
81,3761
82,3801
83,3860
84,3986
85,3736
86,3747
87,3817
88,4005
89,3918
90,3884
91,3976
92,3897
93,3986
94,3903
95,3897
96,3905
97,3927
98,3924
99,3848
100,3961
101,3993
102,4064
103,3912
104,3838
105,3907
106,3911
107,3856
108,3963
109,3800
110,3852
111,3857
112,3909
113,3948
114,4091
115,3927
116,3908
117,3819
118,4034
119,3977
120,4025
121,3998
122,3817
123,3922
124,4008
125,3987
126,3956
127,3899
128,3989
129,3940
130,3946
131,3895
132,3923
133,3806
134,3895
135,3876
136,3980
137,3967
138,3976
139,3957
140,3891
141,4083
142,3917
143,4073
144,3913
145,3975
146,3959
147,3872
148,3882
149,4017
150,3765
151,3899
152,3786
153,3976
154,3959
155,3835
156,3968
157,3938
158,3879
159,4008
160,3874
161,3936
162,3931
163,3979
164,3917
165,3922
166,3904
167,4014
168,3787
169,3795
170,3896
171,3712
172,3722
173,3775
174,3800
175,3789
176,3972
177,3948
178,3979
179,3923
180,3851
181,4004
182,3934
183,4051
184,3830
185,3908
186,3815
187,3921
188,3782
189,3842
190,3806
191,3759
192,4013
193,3966
194,3892
195,4049
196,3918
197,3873
198,3973
199,3876
200,3820
201,3930
202,3984
203,3917
204,3977
205,3935
206,4029
207,3875
208,3925
209,3950
210,3988
211,3960
212,3985
213,3935
214,4050
215,3948
216,3880
217,3808
218,3744
219,3807
220,3925
221,3839
222,3785
223,3891
224,3906
225,3838
226,3965
227,3854
228,3891
229,3994
230,3826
231,3868
232,3903
233,3914
234,3950
235,4033
236,3968
237,4070
238,3895
239,3861
240,3783
241,4001
242,3976
243,4036
244,3882
245,3852
246,3796
247,3955
248,3859
249,3877
250,3966
251,3896
252,3972
253,3968
254,3821
255,3949
