trial,tsc,delta,low16,low8
0,93110833420071,0,38695,39
1,93111324088313,490668242,38905,249
2,93112317219487,993131174,37535,159
3,93112806390963,489171476,48307,179
4,93113259085857,452694894,20513,33
5,93113689886457,430800600,52985,249
6,93114126616783,436730326,51407,207
7,93114554706837,428090054,60309,149
8,93114981807080,427100243,62440,232
9,93115406531053,424723973,47597,237
10,93115844831502,438300449,43278,14
11,93116263325399,418493897,24279,215
12,93116717101098,453775699,28714,42
13,93117144186012,427084914,15516,156
14,93117587612601,443426589,25529,185
15,93118024495660,436883059,45612,44
16,93118498013347,473517687,163,163
17,93118979851498,481838151,17642,234
18,93119431435216,451583718,58320,208
19,93119899456000,468020784,20992,0
20,93120351766746,452310746,2266,218
21,93120807350133,455583387,44917,117
22,93121244784381,437434248,26365,253
23,93121735421298,490636917,60786,114
24,93122220117608,484696310,52840,104
25,93122661197045,441079437,9461,245
26,93123110258470,449061425,18214,38
27,93123508706626,398448156,7490,66
28,93123889251655,380545029,50503,71
29,93124238547754,349296099,39722,42
30,93124490625693,252077939,669,157
31,93125687082094,1196456401,31854,110
32,93125761910987,74828893,18635,203
33,93125838918453,77007466,21301,53
34,93125908881285,69962832,57221,133
35,93125978224056,69342771,62904,184
36,93126051015933,72791877,44285,253
37,93126124836176,73820243,5456,80
38,93126197196563,72360387,14099,19
39,93126267155652,69959089,46276,196
40,93126340779765,73624113,7925,245
41,93126410837130,70057365,7306,138
42,93126486963273,76126143,46153,73
43,93126558932146,71968873,56498,178
44,93126630442217,71510071,1257,233
45,93126702625351,72183134,29255,71
46,93126777146039,74520688,35511,183
47,93126848191424,71045385,39872,192
48,93126919172165,70980741,45125,69
49,93126994607403,75435238,48427,43
50,93127064685424,70078021,2928,112
51,93127139229017,74543593,32089,89
52,93127212549100,73320083,17388,236
53,93127282679731,70130631,24499,179
54,93127354522922,71843191,40234,42
55,93127427172999,72650077,10887,135
56,93127499872709,72699710,31173,197
57,93127574693382,74820673,9734,6
58,93127647392640,72699258,29568,128
59,93127719164807,71772167,39815,135
60,93127790823237,71658430,1861,69
61,93127867051777,76228540,12033,1
62,93127931757971,64706194,34195,147
63,93128008466506,76708535,74,74
64,93128080420546,71954040,61122,194
65,93128153139782,72719236,35398,70
66,93128227761952,74622170,12064,32
67,93128313081239,85319287,3479,151
68,93128370522340,57441101,35044,228
69,93128444175898,73653558,26138,26
70,93128517951422,73775524,8126,190
71,93128590398229,72446807,37653,21
72,93128666544530,76146301,31122,146
73,93128733442142,66897612,16478,94
74,93128809025743,75583601,37071,207
75,93128878414313,69388570,23017,233
76,93128951624053,73209740,29045,117
77,93129032793123,81169070,64547,35
78,93129097288229,64495106,6693,37
79,93129170923547,73635318,45083,27
80,93129240140595,69217048,56115,51
81,93129312495964,72355369,59740,92
82,93129387837179,75341215,34555,251
83,93129458542076,70704897,26108,252
84,93129532754702,74212626,51982,14
85,93129602517243,69762541,18683,251
86,93129675788063,73270820,20255,31
87,93129750619607,74831544,9687,215
88,93129824437330,73817723,33874,82
89,93129897415519,72978189,4959,95
90,93129964854246,67438727,7142,230
91,93130036670069,71815823,61045,117
92,93130115387340,78717271,4044,204
