bucket,count
0,3900
1,3880
2,3894
3,3909
4,3926
5,3908
6,3900
7,3973
8,3935
9,3919
10,4012
11,3822
12,3959
13,3882
14,3884
15,3911
16,3882
17,4005
18,3947
19,3800
20,3880
21,3884
22,3849
23,3948
24,3967
25,3847
26,4037
27,3888
28,3715
29,3937
30,3915
31,3943
32,3960
33,3821
34,3947
35,3963
36,3841
37,3893
38,3955
39,3828
40,3879
41,3949
42,3943
43,3924
44,3871
45,3947
46,3816
47,3894
48,3990
49,3855
50,3900
51,3867
52,3908
53,3887
54,3918
55,3885
56,3959
57,3969
58,3835
59,3926
60,3956
61,3889
62,3976
63,3918
64,3913
65,3862
66,3875
67,3920
68,3852
69,3873
70,3842
71,3954
72,3942
73,3826
74,3891
75,4054
76,3918
77,3873
78,4095
79,3846
80,3879
81,3846
82,3846
83,3858
84,3816
85,3962
86,3956
87,3985
88,3965
89,3850
90,3828
91,3954
92,3961
93,3901
94,3930
95,3884
96,3887
97,3920
98,3816
99,3901
100,3920
101,3885
102,3919
103,3961
104,3810
105,3886
106,3979
107,3891
108,3884
109,3916
110,3936
111,3902
112,3936
113,3994
114,3864
115,3966
116,3894
117,3859
118,3943
119,3871
120,3869
121,3933
122,3941
123,3938
124,3921
125,3854
126,3869
127,3950
128,3896
129,3825
130,3963
131,3881
132,3976
133,3914
134,3882
135,3783
136,3932
137,3911
138,3887
139,4021
140,3827
141,3935
142,3821
143,3860
144,3944
145,3887
146,3962
147,3908
148,3983
149,3815
150,3845
151,3975
152,3915
153,3863
154,3808
155,3879
156,3989
157,4003
158,3951
159,3986
160,3861
161,3885
162,3802
163,3909
164,3964
165,3855
166,3882
167,4065
168,3835
169,3914
170,4041
171,3843
172,4011
173,3831
174,3869
175,3876
176,3891
177,3927
178,3889
179,3881
180,3870
181,3838
182,3915
183,4015
184,4007
185,3876
186,3813
187,3948
188,3943
189,3976
190,3846
191,3909
192,3851
193,3880
194,3997
195,3834
196,3943
197,3884
198,3906
199,3894
200,3855
201,3941
202,3979
203,3852
204,3985
205,3926
206,3691
207,3900
208,3906
209,3966
210,3902
211,3871
212,4016
213,3803
214,3852
215,4018
216,3805
217,3907
218,4065
219,3895
220,3960
221,3977
222,3860
223,3859
224,3873
225,3952
226,3895
227,3942
228,3970
229,3863
230,3837
231,3869
232,3817
233,3910
234,3911
235,3939
236,3930
237,3985
238,3926
239,3922
240,3921
241,3812
242,3881
243,3939
244,3912
245,3910
246,3874
247,3929
248,3900
249,3941
250,3912
251,3896
252,3912
253,3897
254,3848
255,3882
