trial,tsc,delta,low8
0,528569586669,0,237
1,529774632994,1205046325,34
2,529845572022,70939028,182
3,529916523057,70951035,49
4,529987393410,70870353,130
5,530063705931,76312521,75
6,530443386731,379680800,107
7,531647399013,1204012282,101
8,531719233980,71834967,188
9,531790311798,71077818,118
10,532991327649,1201015851,161
11,533061689372,70361723,28
12,533132304459,70615087,75
13,533205659301,73354842,165
14,533282378340,76719039,100
15,533351000833,68622493,1
16,533426272906,75272073,138
17,533498331325,72058419,189
18,533573534374,75203049,166
19,533648098587,74564213,27
20,533718079519,69980932,31
21,533787179286,69099767,22
22,533858910360,71731074,152
23,533931990128,73079768,112
24,534009170473,77180345,41
25,534075557469,66386996,93
26,534150427315,74869846,179
27,534222655215,72227900,239
28,534293352797,70697582,93
29,534370275757,76922960,173
30,534437130351,66854594,111
31,534510865266,73734915,114
32,534584845796,73980530,228
33,534659669394,74823598,146
34,534733300845,73631451,109
35,534802094211,68793366,131
36,534875489561,73395350,25
37,534947088488,71598927,104
38,535019421469,72332981,29
39,535096650763,77229294,11
40,535167503043,70852280,195
41,535235589412,68086369,36
42,535311589267,75999855,147
43,535382003263,70413996,63
44,535458550070,76546807,54
45,535529962986,71412916,234
46,535600414511,70451525,47
47,535673278860,72864349,140
48,535746798988,73520128,140
49,535824466560,77667572,128
50,535894964717,70498157,237
51,535961404990,66440273,62
52,536035659944,74254954,168
53,536110130728,74470784,40
54,536181006765,70876037,173
55,536250302570,69295805,106
56,536324546202,74243632,154
57,536397118977,72572775,1
58,536470176846,73057869,78
59,536541866125,71689279,141
60,536613136090,71269965,218
61,536686116749,72980659,141
62,536760333936,74217187,112
63,536832800939,72467003,171
64,536910783328,77982389,96
65,536980154255,69370927,143
66,537051882619,71728364,123
67,537127680064,75797445,64
68,537195002204,67322140,92
69,537271621191,76618987,71
70,537339299743,67678552,159
71,537410863831,71564088,215
72,537484125993,73262162,41
73,537559575803,75449810,251
74,537632732907,73157104,235
75,537703277529,70544622,217
76,537774127926,70850397,54
77,537846448614,72320688,230
78,537923491681,77043067,97
79,537995335983,71844302,47
80,538068060715,72724732,43
81,538143708998,75648283,70
82,538210690767,66981769,207
83,538282866298,72175531,122
84,538358918775,76052477,119
85,538428690488,69771713,56
86,538505452121,76761633,89
87,538576162207,70710086,159
88,538648833345,72671138,65
89,538722604190,73770845,158
90,538795740371,73136181,211
91,538866209984,70469613,192
92,538941596953,75386969,25
93,539008743615,67146662,191
94,539088022729,79279114,201
95,539157319865,69297136,185
96,539227977473,70657608,1
97,539301634974,73657501,158
98,539372894418,71259444,210
99,539450886532,77992114,132
100,539683381993,232495461,233
101,540887225715,1203843722,115
102,540960070515,72844800,115
103,541028498921,68428406,233
104,541101164425,72665504,137
105,541177306337,76141912,225
106,541253126851,75820514,195
107,541324322174,71195323,126
108,541392986715,68664541,91
109,541465884635,72897920,219
110,541542062920,76178285,72
111,541609693113,67630193,185
112,541682810864,73117751,240
113,541755761901,72951037,237
114,541830636682,74874781,138
115,541901222111,70585429,223
116,541973654655,72432544,127
117,542047519884,73865229,140
118,542118967534,71447650,238
119,542191765119,72797585,127
120,542266316970,74551851,170
121,542340500777,74183807,41
122,542409513475,69012698,3
123,542482284777,72771302,233
124,542555467320,73182543,56
125,542629399389,73932069,93
126,542707560291,78160902,99
127,542773760786,66200495,18
128,542847512684,73751898,108
129,542916462744,68950060,152
130,542990002317,73539573,141
131,543061259955,71257638,179
132,543134839606,73579651,54
133,543207870076,73030470,124
134,543281917138,74047062,210
135,543354340414,72423276,62
136,543424457009,70116595,49
137,543495366712,70909703,56
138,543570265130,74898418,42
139,543646778728,76513598,104
140,543717105056,70326328,160
141,543791479928,74374872,120
142,543863180287,71700359,255
143,543932159629,68979342,141
144,544008941105,76781476,49
145,544078216455,69275350,7
146,544151543513,73327058,217
147,544220578809,69035296,249
148,544295455401,74876592,169
149,544368272223,72816822,95
150,544442918247,74646024,103
151,544520212342,77294095,118
152,544585482168,65269826,184
153,544660015928,74533760,56
154,544731825061,71809133,165
155,544804239777,72414716,161
156,544876248182,72008405,118
157,544951726311,75478129,231
158,545024618562,72892251,66
159,545095765122,71146560,130
160,545168151640,72386518,88
161,545238353517,70201877,109
162,545311656989,73303472,29
163,545381978658,70321669,34
164,545453842794,71864136,106
165,545531348193,77505399,225
166,545604038744,72690551,88
167,545674724702,70685958,94
168,545748664951,73940249,119
169,545822207853,73542902,109
170,545893641904,71434051,176
171,545966828110,73186206,78
172,546042168373,75340263,53
173,546111929208,69760835,120
174,546180272637,68343429,253
175,546261103945,80831308,73
176,546681806633,420702688,41
177,547605395043,923588410,99
178,548061706732,456311689,236
179,548429452053,367745321,21
180,549633626745,1204174692,121
181,549700847406,67220661,46
182,549772464800,71617394,160
183,549847140687,74675887,79
184,549919687079,72546392,167
185,549990738296,71051217,120
186,550065243812,74505516,164
187,550136513875,71270063,83
188,550210436514,73922639,162
189,550282289731,71853217,67
190,550356296459,74006728,11
191,550428358706,72062247,50
192,550498782088,70423382,136
193,550574060706,75278618,162
194,550645836085,71775379,53
195,550720643875,74807790,35
196,550790838435,70194560,163
197,550863927507,73089072,211
198,550938957241,75029734,185
199,551007172287,68215046,191
200,551081558194,74385907,178
201,551151645993,70087799,41
202,551225545507,73899514,35
203,551299949129,74403622,73
204,551375043196,75094067,124
205,551444200869,69157673,165
206,551515497018,71296149,58
207,551587428254,71931236,158
208,551660536221,73107967,157
209,551736846959,76310738,111
210,551810441117,73594158,157
211,551875922001,65480884,81
212,551950425159,74503158,71
213,552023095791,72670632,239
214,552094446911,71351120,63
215,552168200056,73753145,120
216,552241347565,73147509,237
217,552311085241,69737676,185
218,552386507489,75422248,225
219,552456373007,69865518,15
