bucket,count
0,4372
1,4284
2,4284
3,3954
4,3496
5,3487
6,3991
7,3538
8,4208
9,4277
10,4236
11,3869
12,3553
13,3572
14,4076
15,3510
16,4347
17,4265
18,4321
19,3964
20,3414
21,3404
22,3965
23,3464
24,4351
25,4258
26,4218
27,3939
28,3500
29,3420
30,3997
31,3548
32,4288
33,4215
34,4308
35,4022
36,3527
37,3425
38,4124
39,3482
40,4234
41,4361
42,4253
43,3952
44,3544
45,3408
46,4029
47,3455
48,4223
49,4229
50,4207
51,4064
52,3552
53,3482
54,4013
55,3384
56,4261
57,4279
58,4275
59,3985
60,3639
61,3436
62,4053
63,3490
64,4250
65,4213
66,4226
67,3954
68,3578
69,3519
70,3981
71,3469
72,4196
73,4198
74,4264
75,4069
76,3416
77,3415
78,4077
79,3622
80,4251
81,4136
82,4255
83,4017
84,3577
85,3427
86,4067
87,3465
88,4252
89,4380
90,4270
91,4014
92,3447
93,3418
94,4042
95,3502
96,4315
97,4343
98,4305
99,3877
100,3473
101,3298
102,4018
103,3532
104,4261
105,4186
106,4270
107,4004
108,3528
109,3435
110,4040
111,3582
112,4140
113,4280
114,4197
115,4046
116,3537
117,3494
118,4140
119,3501
120,4331
121,4250
122,4230
123,3929
124,3498
125,3388
126,4044
127,3395
128,4099
129,4401
130,4320
131,3916
132,3538
133,3493
134,3975
135,3400
136,4321
137,4418
138,4226
139,4000
140,3519
141,3447
142,4188
143,3467
144,4265
145,4272
146,4225
147,3977
148,3554
149,3423
150,3883
151,3532
152,4209
153,4273
154,4329
155,3956
156,3563
157,3388
158,4014
159,3432
160,4288
161,4131
162,4238
163,4030
164,3508
165,3415
166,4089
167,3518
168,4374
169,4362
170,4301
171,3848
172,3553
173,3406
174,4023
175,3472
176,4129
177,4293
178,4337
179,4035
180,3514
181,3421
182,3978
183,3465
184,4292
185,4295
186,4238
187,3954
188,3524
189,3378
190,4069
191,3611
192,4361
193,4215
194,4278
195,4001
196,3530
197,3437
198,3945
199,3539
200,4290
201,4237
202,4304
203,3970
204,3427
205,3375
206,4036
207,3444
208,4255
209,4173
210,4228
211,3926
212,3597
213,3482
214,4192
215,3581
216,4130
217,4276
218,4367
219,4013
220,3572
221,3478
222,3936
223,3449
224,4326
225,4324
226,4193
227,3892
228,3524
229,3468
230,3975
231,3479
232,4212
233,4226
234,4321
235,4038
236,3519
237,3418
238,4058
239,3443
240,4188
241,4208
242,4254
243,3997
244,3588
245,3478
246,4104
247,3508
248,4268
249,4354
250,4271
251,3912
252,3473
253,3420
254,3916
255,3374
