block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,10000,7.98562,7.40507,199.654,0.99565,5.39029
1,10000,20000,7.98552,7.53282,199.757,0.995581,5.36155
2,20000,30000,7.97035,7.38082,410.138,2.54819e-09,5.36801
3,30000,40000,7.97986,7.42973,276.096,0.173858,5.36333
4,40000,50000,7.97945,7.50635,283.264,0.107954,5.36179
5,50000,60000,7.98335,7.50635,230.016,0.86758,5.40116
6,60000,70000,7.9846,7.50635,213.837,0.97136,5.37795
7,70000,80000,7.98481,7.50635,208.563,0.984843,5.34842
8,80000,90000,7.98236,7.48036,242.765,0.698875,5.37103
9,90000,100000,7.98449,7.53282,212.506,0.975442,5.36145
10,100000,110000,7.98781,7.58727,167.808,0.999994,5.37458
11,110000,120000,7.98373,7.50635,224.282,0.917631,5.36936
12,120000,130000,7.97402,7.42973,357.658,2.31724e-05,5.38367
13,130000,140000,7.98336,7.53282,229.043,0.877226,5.35153
14,140000,150000,7.97639,7.38082,325.197,0.0019286,5.36368
15,150000,160000,7.98478,7.53282,211.584,0.977982,5.35527
16,160000,170000,7.98054,7.38082,268.211,0.272689,5.36279
17,170000,180000,7.98593,7.55979,194.227,0.998188,5.3681
18,180000,190000,7.98152,7.53282,256.794,0.456698,5.35256
19,190000,200000,7.98602,7.40507,193.818,0.99831,5.36426
20,200000,210000,7.98212,7.40507,248.243,0.607327,5.37306
21,210000,220000,7.97166,7.48036,386.33,2.08899e-07,5.36034
22,220000,230000,7.98083,7.48036,265.549,0.311949,5.37902
23,230000,240000,7.98326,7.53282,231.296,0.854156,5.36152
24,240000,250000,7.97365,7.33352,363.75,9.03714e-06,5.36166
25,250000,260000,7.98107,7.42973,257.152,0.450442,5.34991
26,260000,270000,7.97743,7.42973,312.755,0.00786697,5.37405
27,270000,280000,7.98629,7.58727,189.363,0.999237,5.37457
28,280000,290000,7.98596,7.42973,194.483,0.998107,5.35845
29,290000,300000,7.96433,7.35698,489.6,7.43994e-17,5.33464
30,300000,310000,7.98666,7.38082,184.397,0.999709,5.36538
31,310000,320000,7.97948,7.48036,278.861,0.145769,5.36091
32,320000,330000,7.97346,7.45482,365.03,7.38411e-06,5.38833
33,330000,340000,7.98374,7.45482,225.869,0.905397,5.35363
34,340000,350000,7.96152,7.38082,526.874,7.03024e-21,5.37241
35,350000,360000,7.98496,7.50635,207.386,0.986982,5.36922
36,360000,370000,7.98084,7.38082,268.467,0.26906,5.33676
37,370000,380000,7.98859,7.55979,157.67,1,5.38471
38,380000,390000,7.98298,7.48036,234.368,0.81856,5.35882
39,390000,400000,7.95452,7.31043,627.942,5.99079e-33,5.38608
40,400000,410000,7.98539,7.45482,202.317,0.99353,5.01169
41,410000,420000,7.98601,7.61529,191.667,0.998839,5.19328
42,420000,430000,7.98116,7.45482,259.046,0.417709,5.18947
43,430000,440000,7.98697,7.50635,180.608,0.999869,5.20729
44,440000,450000,7.98662,7.45482,184.96,0.999674,5.20153
45,450000,460000,7.97956,7.45482,283.11,0.109135,5.18123
46,460000,470000,7.98428,7.45482,217.882,0.95553,5.18658
47,470000,480000,7.98077,7.45482,264.371,0.330149,5.19659
48,480000,490000,7.98292,7.55979,234.214,0.820452,5.17455
49,490000,500000,7.9795,7.38082,282.957,0.110326,5.17491
50,500000,510000,7.98917,7.61529,149.325,1,5.18367
51,510000,520000,7.98643,7.48036,187.469,0.999466,5.19225
52,520000,530000,7.9865,7.42973,188.595,0.999339,5.16442
53,530000,540000,7.98578,7.48036,198.477,0.996375,5.19747
54,540000,550000,7.98185,7.38082,248.346,0.605551,5.18746
55,550000,560000,7.97957,7.40507,281.318,0.123641,5.19756
56,560000,570000,7.9877,7.45482,171.904,0.999983,5.19517
57,570000,580000,7.98153,7.50635,253.261,0.51901,5.19122
58,580000,590000,7.97655,7.42973,323.814,0.00227354,5.20575
59,590000,600000,7.98176,7.42973,252.442,0.533531,5.21162
60,600000,610000,7.9805,7.40507,268.57,0.267616,5.17733
61,610000,620000,7.98713,7.50635,178.355,0.99992,5.18515
62,620000,630000,7.98646,7.55979,189.21,0.999258,5.19124
63,630000,640000,7.97956,7.42973,283.418,0.106782,5.18635
64,640000,650000,7.97143,7.35698,393.242,6.07176e-08,5.15675
65,650000,660000,7.98689,7.58727,180.915,0.99986,5.18099
66,660000,670000,7.97602,7.42973,332.723,0.000759968,5.18245
67,670000,680000,7.98597,7.53282,193.459,0.998411,5.16527
68,680000,690000,7.9796,7.45482,281.472,0.122344,5.18828
69,690000,700000,7.98515,7.48036,206.31,0.988709,5.19274
70,700000,710000,7.98721,7.53282,177.434,0.999935,5.18398
71,710000,720000,7.98513,7.48036,205.491,0.989891,5.19484
72,720000,730000,7.98446,7.45482,214.758,0.968226,5.19358
73,730000,740000,7.97934,7.33352,289.818,0.0660359,5.1904
74,740000,750000,7.98162,7.35698,254.848,0.490909,5.19117
75,750000,760000,7.97841,7.48036,291.2,0.0591322,5.18211
76,760000,770000,7.98745,7.50635,174.669,0.999966,5.1719
77,770000,780000,7.98442,7.42973,214.656,0.968587,5.20157
78,780000,790000,7.97631,7.40507,326.784,0.00159259,5.18114
79,790000,800000,7.98813,7.50635,163.2,0.999998,5.19415
80,800000,810000,7.98063,7.53282,264.218,0.332558,5.18146
81,810000,820000,7.98408,7.48036,219.571,0.947183,5.18883
82,820000,830000,7.98689,7.61529,179.635,0.999894,5.15767
83,830000,840000,7.97563,7.31043,342.451,0.000209243,5.19977
84,840000,850000,7.9814,7.48036,256.794,0.456698,5.19191
85,850000,860000,7.98588,7.55979,194.944,0.997955,5.17244
86,860000,870000,7.97599,7.48036,328.832,0.00123913,5.18953
87,870000,880000,7.98528,7.42973,204.211,0.991526,5.17543
88,880000,890000,7.9838,7.33352,222.797,0.928005,5.17528
89,890000,900000,7.98544,7.38082,204.621,0.991029,5.19058
90,900000,910000,7.98227,7.48036,244.966,0.663025,5.17142
91,910000,920000,7.97774,7.40507,303.386,0.0202186,5.18672
92,920000,930000,7.98265,7.40507,238.618,0.761773,5.2003
93,930000,940000,7.98437,7.50635,216.141,0.963019,5.19003
94,940000,950000,7.97607,7.45482,329.498,0.001141,5.18299
95,950000,960000,7.98396,7.50635,221.158,0.938301,5.17642
96,960000,970000,7.97515,7.48036,342.042,0.000221341,5.14115
97,970000,980000,7.98332,7.40507,231.501,0.851931,5.38948
98,980000,990000,7.96524,7.42973,475.059,2.3171e-15,5.36515
99,990000,1000000,7.97988,7.40507,276.608,0.168397,5.35542
