block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,1000,7.84698,6.38082,210.368,0.980999,5.74766
1,1000,2000,7.77305,6.50635,288.192,0.0749673,5.59702
2,2000,3000,7.82258,6.79586,231.872,0.847843,5.69852
3,3000,4000,7.82647,6.64386,234.944,0.811363,5.69704
4,4000,5000,7.78599,6.50635,275.392,0.181559,5.62105
5,5000,6000,7.81055,6.64386,250.304,0.57131,5.66842
6,6000,7000,7.79057,6.64386,267.2,0.287279,5.63119
7,7000,8000,7.76994,6.64386,283.072,0.109432,5.59265
8,8000,9000,7.7931,6.05889,278.976,0.144673,5.63794
9,9000,10000,7.79529,6.64386,271.808,0.224222,5.63826
