block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,100,6.28386,4.64386,258.4,0.428808,5.94249
1,100,200,6.20876,5.05889,273.76,0.200272,5.77057
2,200,300,6.31631,5.05889,243.04,0.694477,5.96764
3,300,400,6.23631,4.64386,273.76,0.200272,5.80603
4,400,500,6.19631,5.05889,273.76,0.200272,5.72522
5,500,600,6.29631,5.05889,248.16,0.608768,5.94744
6,600,700,6.21631,5.05889,268.64,0.266626,5.76562
7,700,800,6.29631,5.05889,248.16,0.608768,5.92724
8,800,900,6.44876,5.05889,212.32,0.975972,6.23522
9,900,1000,6.24121,5.05889,268.64,0.266626,5.81593
