trial,tsc,delta,low8,low16
0,3817251661687,0,119,59255
1,3817992864831,741203144,63,50239
2,3819201551677,1208686846,61,56637
3,3819269668017,68116340,177,15537
4,3819343832225,74164208,161,58529
5,3819415542794,71710569,10,7178
6,3819486298230,70755436,118,49270
7,3819563280756,76982526,116,26996
8,3819636510264,73229508,56,52792
9,3819721033097,84522833,137,34185
10,3819779994912,58961815,32,13600
11,3819851873296,71878384,16,64528
12,3819924975141,73101845,37,28197
13,3819999741522,74766381,82,18002
14,3820067270206,67528684,62,44606
15,3820140021837,72751631,77,51277
16,3820211699929,71678092,217,32985
17,3820283812684,72112755,76,56140
18,3820356940077,73127393,45,45357
19,3820432640337,75700260,81,51537
20,3820504038616,71398279,216,15576
21,3820575514063,71475447,207,56783
22,3820648749540,73235477,228,23012
23,3820722851766,74102226,182,4022
24,3820795265004,72413238,236,65516
25,3820868743203,73478199,35,12323
26,3820940263336,71520133,168,32680
27,3821010040888,69777552,56,14392
28,3821086687504,76646616,16,49424
29,3821160465579,73778075,171,33963
30,3821251590533,91124954,133,63877
31,3821306016226,54425693,226,29154
32,3821379077137,73060911,17,17425
33,3821445216573,66139436,61,31037
34,3821522006412,76789839,140,12684
35,3821591733712,69727300,208,9680
36,3821663841178,72107466,154,27546
37,3821740111077,76269899,229,13541
38,3821811117477,71006400,165,44453
39,3821882374261,71256784,117,63605
40,3821957141731,74767470,227,54499
41,3822030004133,72862402,165,40869
42,3822102586652,72582519,28,9500
43,3822172257232,69670580,208,15312
44,3822248820102,76562870,134,32134
45,3822316493020,67672918,220,6364
46,3822392637871,76144851,175,63919
47,3822464131318,71493447,246,57590
48,3822535402354,71271036,114,25458
49,3822608679884,73277530,204,33740
50,3822682108202,73428318,42,61738
51,3822755982808,73874606,216,11736
52,3822825709044,69726236,244,7668
53,3822897801638,72092594,166,10662
54,3822971954416,74152778,240,42224
55,3823043930325,71975909,213,59605
56,3823120670233,76739908,25,56857
57,3823187292477,66622244,61,28989
58,3823261915306,74622829,170,6314
59,3823336891712,74976406,64,9536
60,3823414920149,78028437,213,50133
61,3823480601588,65681439,244,64500
62,3823553873224,73271636,72,1352
63,3823626960628,73087404,244,16116
64,3823701597141,74636513,213,7125
