block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,1000,7.79227,6.50635,276.416,0.170431,5.6435
1,1000,2000,7.80211,6.50635,268.224,0.272507,5.65993
2,2000,3000,7.78911,6.79586,262.08,0.366864,5.63132
3,3000,4000,7.77075,6.50635,294.336,0.0456337,5.59385
4,4000,5000,7.8065,6.79586,247.744,0.615956,5.66699
5,5000,6000,7.8055,6.64386,247.744,0.615956,5.66148
6,6000,7000,7.82677,6.64386,226.24,0.90236,5.69994
7,7000,8000,7.78482,6.50635,269.76,0.251147,5.62328
8,8000,9000,7.77812,6.50635,283.072,0.109432,5.6093
9,9000,10000,7.80394,6.79586,245.696,0.650837,5.65359
