block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,10000,7.98368,7.55979,223.002,0.926634,5.19315
1,10000,20000,7.97712,7.42973,312.346,0.00821562,5.18783
2,20000,30000,7.98765,7.55979,168.525,0.999993,5.18069
3,30000,40000,7.98595,7.53282,192.896,0.998558,5.18994
4,40000,50000,7.98151,7.48036,254.899,0.490005,5.1795
5,50000,60000,7.98118,7.48036,261.606,0.374649,5.17766
6,60000,70000,7.9852,7.45482,204.314,0.991404,5.18904
7,70000,80000,7.97781,7.28771,313.216,0.00749069,5.17823
8,80000,90000,7.98294,7.48036,234.112,0.821706,5.19126
9,90000,100000,7.98187,7.42973,247.27,0.624101,5.19545
10,100000,110000,7.97954,7.53282,281.779,0.119782,5.17998
11,110000,120000,7.98571,7.48036,198.118,0.996573,5.19023
12,120000,130000,7.98522,7.45482,204.416,0.991281,5.20137
13,130000,140000,7.9834,7.53282,230.477,0.862843,5.18941
14,140000,150000,7.98753,7.53282,170.419,0.999988,5.20019
15,150000,160000,7.98478,7.53282,208.307,0.985331,5.17887
16,160000,170000,7.97248,7.38082,381.517,4.8303e-07,5.1821
17,170000,180000,7.98377,7.48036,223.667,0.922047,5.17903
18,180000,190000,7.98484,7.53282,209.331,0.983295,5.20237
19,190000,200000,7.98368,7.48036,225.971,0.904566,5.20554
20,200000,210000,7.98755,7.58727,172.262,0.999981,5.17841
21,210000,220000,7.98249,7.48036,242.56,0.702131,4.82758
22,220000,230000,7.9849,7.48036,208.87,0.984238,5.19535
23,230000,240000,7.98606,7.48036,192.691,0.998609,5.17778
24,240000,250000,7.97805,7.40507,307.072,0.0141158,5.18711
25,250000,260000,7.98171,7.45482,252.698,0.528993,5.18059
26,260000,270000,7.97679,7.26534,319.872,0.00359401,5.18584
27,270000,280000,7.98336,7.55979,226.586,0.899472,5.17782
28,280000,290000,7.98552,7.40507,201.549,0.994218,5.18788
29,290000,300000,7.98134,7.48036,258.637,0.424732,4.94715
30,300000,310000,7.98773,7.55979,168.832,0.999992,5.36677
31,310000,320000,7.97695,7.45482,319.309,0.00383169,5.35264
32,320000,330000,7.98694,7.53282,180.301,0.999877,5.37603
33,330000,340000,7.98593,7.50635,193.562,0.998382,5.33674
34,340000,350000,7.98365,7.48036,226.534,0.899904,5.4068
