block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,10000,7.98384,7.53282,222.541,0.929692,2.83849
1,10000,20000,7.97896,7.42973,290.586,0.0621245,2.82557
2,20000,30000,7.97974,7.35698,278.298,0.151214,2.82436
3,30000,40000,7.97978,7.35698,278.4,0.150213,2.81587
4,40000,50000,7.98066,7.40507,266.214,0.301882,2.82183
5,50000,60000,7.97651,7.33352,324.941,0.00198858,2.81993
6,60000,70000,7.98127,7.50635,256.486,0.462073,2.82664
7,70000,80000,7.98206,7.48036,249.779,0.580533,2.82047
8,80000,90000,7.98173,7.53282,249.984,0.576937,2.82174
9,90000,100000,7.9816,7.55979,253.466,0.51538,2.82006
