lag,correlation,mutual_information
1,-0.295678,5.02686
2,-0.395736,5.19973
3,0.699633,5.3595
4,-0.162315,5.30534
5,-0.462129,4.89907
6,0.433055,4.89244
7,0.00464415,5.74184
8,-0.49498,4.87968
9,0.200749,4.75758
10,0.205179,4.97364
11,-0.494511,5.13651
12,0.00151502,4.62231
13,0.438861,4.64654
14,-0.46056,5.31439
15,-0.164076,4.68515
16,0.705753,4.44378
17,-0.393097,4.70303
18,-0.296274,4.93333
19,0.934607,4.3841
20,-0.29234,4.36332
21,-0.395264,4.96706
22,0.689914,4.45333
23,-0.158303,4.18928
24,-0.460888,4.40527
25,0.426946,4.77003
26,0.00936342,4.14296
27,-0.49308,4.11236
28,0.197172,4.64875
29,0.210203,4.2602
30,-0.492056,3.96402
31,-0.000156094,4.14123
32,0.444164,4.59517
33,-0.45755,3.94499
34,-0.164489,3.88047
35,0.711553,4.36814
36,-0.389592,4.0989
37,-0.295846,3.75944
38,0.899267,3.91287
39,-0.288205,4.37667
40,-0.393876,3.77715
41,0.681575,3.67312
42,-0.153669,4.12291
43,-0.45904,3.96638
44,0.421824,3.58579
45,0.0143399,3.70856
46,-0.490642,4.17148
47,0.194531,3.62991
48,0.215833,3.49685
49,-0.489109,3.90243
50,-0.000901783,3.86322
51,0.450363,3.4332
52,-0.454077,3.52935
53,-0.164006,3.97597
54,0.717603,3.50884
55,-0.38536,3.34187
56,-0.294548,3.7082
57,0.857782,3.76289
58,-0.283542,3.30296
59,-0.391986,3.36664
60,0.673699,3.7952
61,-0.148475,3.40724
62,-0.456516,3.20666
63,0.417543,3.5328
64,0.0202141,3.64552
65,-0.487573,3.18975
66,0.19276,3.22156
67,0.222242,3.6305
68,-0.485407,3.32634
69,-0.000956328,3.08792
70,0.457367,3.3758
71,-0.449776,3.5267
72,-0.16304,3.09351
73,0.719591,3.09351
74,-0.380551,3.47547
75,-0.292805,3.26694
76,0.818324,2.98037
77,-0.278139,3.23674
78,-0.389337,3.4041
79,0.665731,3.01228
80,-0.142506,2.98146
81,-0.453312,3.33264
82,0.414302,3.21008
83,0.0266812,2.88687
84,-0.483775,3.11051
85,0.191413,3.28436
86,0.229285,2.94696
87,-0.481098,2.87728
88,-0.000467255,3.20674
89,0.464915,3.13479
90,-0.444983,2.80843
91,-0.161264,2.99745
92,0.709292,3.17385
93,-0.375178,2.89522
94,-0.290286,2.78774
95,0.781221,3.09129
96,-0.272246,3.05666
97,-0.386053,2.74282
98,0.652899,2.89071
99,-0.135972,3.06775
100,-0.449487,2.85714
