block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,10000,7.98075,7.42973,268.928,0.262596,2.82732
1,10000,20000,7.98229,7.38082,245.53,0.653629,2.82844
2,20000,30000,7.98087,7.38082,264.474,0.328547,2.8237
3,30000,40000,7.98337,7.40507,227.2,0.894193,2.82737
4,40000,50000,7.98065,7.38082,268.518,0.268338,2.81997
5,50000,60000,7.97926,7.42973,283.059,0.109531,2.81936
6,60000,70000,7.98021,7.35698,270.31,0.243733,2.82346
7,70000,80000,7.98116,7.45482,259.814,0.404631,2.82538
8,80000,90000,7.97862,7.22162,296.474,0.037985,2.81071
9,90000,100000,7.97855,7.45482,295.962,0.0397112,2.81709
