block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,10000,7.98242,7.53282,240.358,0.736189,5.19649
1,10000,20000,7.98302,7.48036,234.982,0.810878,5.17584
2,20000,30000,7.98188,7.40507,251.366,0.552567,5.1895
3,30000,40000,7.98424,7.42973,218.086,0.954576,5.19167
4,40000,50000,7.98,7.42973,274.458,0.192126,5.17912
5,50000,60000,7.98095,7.48036,262.63,0.357897,5.19474
6,60000,70000,7.98132,7.48036,258.483,0.427375,5.1756
7,70000,80000,7.98252,7.40507,242.918,0.696423,5.17856
8,80000,90000,7.97589,7.35698,335.027,0.000564779,5.1975
9,90000,100000,7.97738,7.28771,312.755,0.00786697,5.19264
10,100000,110000,7.98404,7.38082,221.312,0.937386,5.17987
11,110000,120000,7.97809,7.33352,301.696,0.0237119,5.17918
12,120000,130000,7.97932,7.24332,292.378,0.0537246,5.18931
13,130000,140000,7.9851,7.53282,206.618,0.988237,5.17485
14,140000,150000,7.98527,7.45482,205.747,0.989533,5.19801
15,150000,160000,7.97844,7.48036,300.365,0.0268206,5.1778
16,160000,170000,7.97935,7.40507,288.282,0.0744513,5.17487
17,170000,180000,7.98717,7.53282,177.792,0.99993,5.19575
18,180000,190000,7.98234,7.48036,241.434,0.71978,5.17649
19,190000,200000,7.98571,7.48036,196.48,0.997364,5.18914
20,200000,210000,7.98306,7.40507,236.058,0.796995,5.19536
21,210000,220000,7.98472,7.53282,212.557,0.975295,5.1623
22,220000,230000,7.98171,7.45482,253.824,0.509029,5.19784
23,230000,240000,7.98375,7.48036,226.227,0.902466,5.18449
24,240000,250000,7.98241,7.50635,241.741,0.715012,5.17563
25,250000,260000,7.98654,7.45482,185.523,0.999635,5.19898
26,260000,270000,7.97667,7.31043,323.354,0.00240062,5.17957
27,270000,280000,7.98605,7.53282,193.203,0.998479,5.19102
28,280000,290000,7.98646,7.50635,186.138,0.999588,5.20038
29,290000,300000,7.98237,7.45482,244.762,0.66642,5.18366
30,300000,310000,7.97841,7.45482,299.699,0.0285022,5.18039
31,310000,320000,7.97983,7.38082,279.885,0.136229,5.2075
32,320000,330000,7.98311,7.45482,232.678,0.838724,5.17834
33,330000,340000,7.98435,7.40507,215.526,0.965411,5.19947
34,340000,350000,7.9852,7.53282,201.139,0.994558,5.19255
35,350000,360000,7.98751,7.50635,173.133,0.999977,5.17171
36,360000,370000,7.98104,7.45482,261.094,0.383133,5.20477
37,370000,380000,7.97849,7.31043,293.914,0.0472875,5.18841
38,380000,390000,7.98423,7.50635,217.83,0.955765,5.19216
39,390000,400000,7.98184,7.53282,249.677,0.582329,5.1751
40,400000,410000,7.98603,7.53282,192.282,0.998705,5.17708
41,410000,420000,7.9781,7.33352,305.126,0.017097,5.1776
42,420000,430000,7.98144,7.50635,253.568,0.513565,5.19885
43,430000,440000,7.98742,7.53282,174.106,0.99997,5.19566
44,440000,450000,7.98619,7.55979,189.978,0.999145,5.1845
45,450000,460000,7.98473,7.45482,211.994,0.976881,5.18105
46,460000,470000,7.98384,7.53282,224.282,0.917631,5.20229
47,470000,480000,7.98497,7.53282,206.157,0.988939,5.18057
48,480000,490000,7.98338,7.48036,230.733,0.860165,5.17963
49,490000,500000,7.98424,7.58727,216.141,0.963019,5.16239
50,500000,510000,7.98583,7.45482,194.278,0.998172,5.17064
51,510000,520000,7.98078,7.40507,263.245,0.347994,5.18221
52,520000,530000,7.98516,7.53282,202.982,0.992878,5.17639
53,530000,540000,7.9863,7.48036,190.797,0.999007,5.17173
54,540000,550000,7.9855,7.42973,203.085,0.992773,5.18696
