trial,tsc,rng,low8
0,4652136239532,2672084453724075167,159
1,4652136247179,10330580774232738746,186
2,4652136248433,17108513001691765517,13
3,4652136249346,13736517931519404545,1
4,4652136250126,18018561716246514223,47
5,4652136250856,3060213684334278071,183
6,4652136251707,2445882543826087881,201
7,4652136252396,4825766059257144419,99
8,4652136253115,258594324580529189,37
9,4652136253900,4188832897684866199,151
10,4652136254715,1796600751550317371,59
11,4652136255772,6526089773455842127,79
12,4652136256528,600537108161744901,5
13,4652136257347,14422949067873595802,154
14,4652136258237,10251914671663192372,52
15,4652136259115,17076273114625824167,167
16,4652136259895,11914080382700486112,224
17,4652136260590,2868731447645613712,144
18,4652136261415,4235548902531076640,32
19,4652136262240,8199145195219670712,184
20,4652136263067,5568728201651543961,153
21,4652136263767,7285607879376553026,66
22,4652136264488,10204430459529705667,195
23,4652136265281,6269026130956731332,196
24,4652136265974,12265608654756019074,130
25,4652136266768,12988741085364069545,169
26,4652136267561,18316491099317509750,118
27,4652136268359,15621507427454405222,102
28,4652136269056,18441132178929976500,180
29,4652136269747,12364854589599839331,99
30,4652136270471,10459974197652312549,229
31,4652136271211,8500321534154475188,180
32,4652136272005,1374147704525645585,17
33,4652136272834,17112351259496454375,231
34,4652136273525,1876861433540101057,193
35,4652136274316,1666125905262027775,255
36,4652136275107,18301788477372473497,153
37,4652136275800,13340752273269622801,17
38,4652136276521,11259750888112219325,189
39,4652136277220,14049487911348958803,83
40,4652136277937,6617409939868235116,108
41,4652136278728,10144384153185140871,135
42,4652136279421,14075061617412448554,42
43,4652136280138,18170115768432542989,13
44,4652136280866,5451473057991330713,153
45,4652136281661,18359837882399797284,36
46,4652136282386,8364456851186933924,164
47,4652136283181,7547572073235716130,34
48,4652136284000,3318287963035070484,20
49,4652136284825,14713690820283178850,98
50,4652136285516,2853358716766149728,96
51,4652136286345,6862976405422640706,66
52,4652136287178,2628580665316060677,5
53,4652136287896,4537077783536921941,85
54,4652136288652,1743698504627558340,196
55,4652136289379,859580216796188780,108
56,4652136290216,5641078719434032530,146
57,4652136290985,8334940316093256755,51
58,4652136291704,8138592957964524300,12
59,4652136292397,13926377859778086174,30
60,4652136293188,12018221351108736577,65
61,4652136293992,12621872038307212395,107
62,4652136294819,18320753035342659681,97
63,4652136295618,13985169989585137244,92
64,4652136296313,9011854255748099254,182
65,4652136297140,9950070588280223598,110
66,4652136297969,9606921003439546327,215
67,4652136298669,17201803359134169975,119
68,4652136299496,12142545982733588706,226
69,4652136300329,11633922385018339914,74
70,4652136301022,3907658010804535830,22
71,4652136301855,14233741836130768552,168
72,4652136302678,6701131819470247505,81
73,4652136303509,1662993609788875628,108
74,4652136304235,5403036260736436851,115
75,4652136304928,11389230403463395686,102
76,4652136305755,1203128526880691431,231
77,4652136306460,12404445403286822026,138
78,4652136307257,7250548838022825993,9
79,4652136307978,17729721676053442742,182
