block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,10000,7.98901,7.50635,151.936,1,5.19422
1,10000,20000,7.97841,7.45482,295.142,0.0426099,5.1847
2,20000,30000,7.97549,7.35698,336.922,0.000440678,5.1709
3,30000,40000,7.98523,7.45482,202.214,0.993626,5.17582
4,40000,50000,7.98194,7.31043,248.755,0.598433,5.17791
5,50000,60000,7.98468,7.53282,207.846,0.986177,5.17884
6,60000,70000,7.98298,7.55979,235.648,0.802349,5.18554
7,70000,80000,7.98662,7.48036,184.346,0.999712,5.1717
8,80000,90000,7.98574,7.50635,198.528,0.996345,4.79315
9,90000,100000,7.98329,7.50635,229.811,0.869651,4.92316
10,100000,110000,7.98116,7.45482,261.043,0.383985,5.06051
11,110000,120000,7.97175,7.24332,394.522,4.81053e-08,4.87583
12,120000,130000,7.9837,7.31043,228.275,0.884503,4.95367
13,130000,140000,7.97985,7.48036,278.963,0.144794,4.96905
14,140000,150000,7.98228,7.40507,244.813,0.665573,5.17181
15,150000,160000,7.98025,7.45482,271.386,0.229626,5.19109
16,160000,170000,7.97935,7.50635,286.95,0.0824137,4.94771
17,170000,180000,7.98702,7.58727,178.253,0.999922,5.19981
18,180000,190000,7.97117,7.42973,395.75,3.84247e-08,4.96068
19,190000,200000,7.98563,7.55979,195.61,0.997715,5.18808
20,200000,210000,7.97779,7.45482,302.31,0.0223855,4.94792
21,210000,220000,7.98486,7.48036,208.41,0.985137,5.19846
22,220000,230000,7.98166,7.48036,252.851,0.526271,4.75397
23,230000,240000,7.98126,7.45482,259.302,0.413336,5.19968
24,240000,250000,7.98352,7.50635,226.893,0.896856,5.19379
25,250000,260000,7.97961,7.42973,277.018,0.164114,4.96328
26,260000,270000,7.98619,7.48036,192.589,0.998634,4.95889
27,270000,280000,7.98557,7.53282,199.347,0.99585,4.96008
28,280000,290000,7.97951,7.33352,280.55,0.130274,4.95026
29,290000,300000,7.97786,7.45482,304.154,0.018785,5.18532
30,300000,310000,7.97831,7.35698,299.648,0.0286352,4.96195
31,310000,320000,7.98393,7.45482,221.926,0.933621,5.19809
32,320000,330000,7.98389,7.45482,223.923,0.920228,5.08358
33,330000,340000,7.97508,7.40507,346.65,0.000116501,5.37723
34,340000,350000,7.97326,7.45482,364.314,8.27e-06,5.36329
35,350000,360000,7.98206,7.53282,244.966,0.663025,5.36961
36,360000,370000,7.98435,7.48036,214.912,0.967678,5.352
37,370000,380000,7.98393,7.50635,221.261,0.937692,5.40611
38,380000,390000,7.98292,7.50635,238.464,0.763969,5.36825
39,390000,400000,7.98731,7.48036,174.925,0.999964,5.35763
40,400000,410000,7.98583,7.55979,196.326,0.997429,5.01294
41,410000,420000,7.98057,7.48036,266.419,0.298817,5.1728
42,420000,430000,7.98547,7.50635,200.32,0.995186,5.18853
43,430000,440000,7.98945,7.61529,144.102,1,5.16709
44,440000,450000,7.98573,7.50635,196.07,0.997535,5.17268
45,450000,460000,7.98138,7.38082,256.794,0.456698,5.19241
46,460000,470000,7.97492,7.38082,342.349,0.000212207,5.19909
47,470000,480000,7.98586,7.53282,197.35,0.996967,5.19512
48,480000,490000,7.98477,7.38082,212.813,0.974545,5.21358
49,490000,500000,7.98271,7.50635,238.874,0.758091,5.19851
50,500000,510000,7.98562,7.55979,196.787,0.997229,5.17523
51,510000,520000,7.98113,7.50635,256.384,0.463868,5.17894
