block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,1000,7.80993,6.64386,238.528,0.763056,5.67059
1,1000,2000,7.82555,6.38082,228.8,0.879563,5.69911
2,2000,3000,7.82037,6.79586,236.48,0.79139,5.6919
3,3000,4000,7.80535,6.15843,269.248,0.258158,5.66668
4,4000,5000,7.82138,6.64386,240.064,0.740603,5.70376
5,5000,6000,7.77374,6.50635,285.12,0.0944332,5.60617
6,6000,7000,7.81788,6.79586,232.384,0.842091,5.67738
7,7000,8000,7.80494,6.50635,259.008,0.418366,5.6547
8,8000,9000,7.78964,6.64386,254.4,0.498831,5.62976
9,9000,10000,7.82485,6.50635,225.728,0.906531,5.69306
