block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,100,6.24876,5.05889,263.52,0.343597,5.83118
1,100,200,6.35631,5.05889,232.8,0.83732,6.04845
2,200,300,6.36386,5.64386,227.68,0.889939,6.0637
3,300,400,6.27631,5.05889,253.28,0.518669,5.90704
4,400,500,6.18511,4.32193,304.48,0.018203,5.72281
5,500,600,6.38386,5.64386,222.56,0.929566,6.14451
6,600,700,6.28121,5.05889,258.4,0.428808,5.89674
7,700,800,6.42876,5.05889,217.44,0.957532,6.21502
8,800,900,6.28876,5.05889,253.28,0.518669,5.95239
9,900,1000,6.42386,5.64386,212.32,0.975972,6.20511
