trial,tsc,delta,low8
0,9005897784056,0,248
1,9006449019900,551235844,252
2,9006759337054,310317154,94
3,9007282217837,522880783,109
4,9008094914983,812697146,167
5,9009305242776,1210327793,152
6,9009377208369,71965593,49
7,9009449316798,72108429,190
8,9009521895342,72578544,174
9,9009609551193,87655851,89
10,9009875641197,266090004,109
11,9011071991004,1196349807,220
12,9011141094668,69103664,12
13,9011213550803,72456135,211
14,9011286169431,72618628,87
15,9011358162304,71992873,128
16,9011437736159,79573855,223
17,9011507804740,70068581,68
18,9011580300582,72495842,38
19,9011649051464,68750882,72
20,9011727183003,78131539,155
21,9011795978081,68795078,97
22,9011867551817,71573736,73
23,9011939594041,72042224,57
24,9012012827131,73233090,251
25,9012086361580,73534449,236
26,9012158998296,72636716,24
27,9012236672718,77674422,206
28,9012303484556,66811838,140
29,9012375241301,71756745,85
30,9012450820372,75579071,20
31,9012523458729,72638357,169
32,9012597400056,73941327,248
33,9012664764929,67364873,1
34,9012742812892,78047963,220
35,9012811665738,68852846,74
36,9012883798042,72132304,26
37,9012955596602,71798560,58
38,9013028377165,72780563,77
39,9013099608526,71231361,206
40,9013175485979,75877453,27
41,9013245169753,69683774,89
42,9013326344573,81174820,125
43,9013392684017,66339444,241
44,9013462815979,70131962,235
45,9013538703224,75887245,120
46,9013610413768,71710544,200
47,9013680882471,70468703,39
48,9013753437625,72555154,185
49,9013826078844,72641219,124
50,9013902461703,76382859,7
51,9013972422770,69961067,114
52,9014046728052,74305282,116
53,9014115573331,68845279,83
54,9014188756110,73182779,142
55,9014266855889,78099779,209
56,9014337125799,70269910,167
57,9014407686650,70560851,250
58,9014478129910,70443260,246
59,9014551230064,73100154,112
60,9014625632722,74402658,210
61,9014696766937,71134215,217
62,9014770786895,74019958,79
63,9014842731439,71944544,175
64,9014914078939,71347500,219
65,9014990445166,76366227,110
66,9015062038115,71592949,99
67,9015135310840,73272725,248
68,9015202991307,67680467,203
69,9015276386194,73394887,146
70,9015353194757,76808563,5
71,9015425708492,72513735,204
72,9015496024569,70316077,249
73,9015568123039,72098470,159
74,9015640893197,72770158,13
75,9015719848972,78955775,12
76,9015785218999,65370027,183
77,9015858413169,73194170,113
78,9015929727173,71314004,197
79,9016002125478,72398305,166
80,9016075028708,72903230,228
81,9016146355677,71326969,221
82,9016219122753,72767076,65
83,9016292776587,73653834,139
84,9016364759637,71983050,85
85,9016438979440,74219803,112
86,9016509450406,70470966,166
87,9016582335973,72885567,229
88,9016655656485,73320512,37
89,9016726738214,71081729,38
90,9016803268720,76530506,112
91,9016874627331,71358611,3
92,9016944004914,69377583,50
93,9017017598778,73593864,58
94,9017094290695,76691917,7
95,9017184905187,90614492,227
96,9017236534955,51629768,171
97,9017309064864,72529909,160
98,9017380510998,71446134,22
99,9017469681011,89170013,115
100,9017530004937,60323926,201
101,9017599573088,69568151,96
102,9017675717676,76144588,44
103,9017742701745,66984069,177
104,9017818617876,75916131,20
105,9017892175689,73557813,73
106,9017962937727,70762038,127
107,9018038452336,75514609,112
108,9018107042426,68590090,122
109,9018177641706,70599280,234
110,9018252972629,75330923,85
111,9018326229351,73256722,103
112,9018404523596,78294245,76
113,9018468215754,63692158,202
114,9018542073113,73857359,25
115,9018619128322,77055209,2
116,9018690891263,71762941,255
117,9018760464920,69573657,24
118,9018831177117,70712197,157
119,9018909985936,78808819,144
120,9018982955375,72969439,111
121,9019052648064,69692689,128
122,9019124234108,71586044,124
123,9019195762187,71528079,11
124,9019266973666,71211479,226
125,9019340656151,73682485,23
126,9019415891622,75235471,166
127,9019490521372,74629750,28
128,9019556291298,65769926,226
129,9019629482748,73191450,252
130,9019709698392,80215644,88
131,9019775944919,66246527,215
132,9019848485520,72540601,144
133,9019921730798,73245278,238
134,9019993021193,71290395,9
135,9020070151255,77130062,87
136,9020138980690,68829435,82
137,9020209782760,70802070,232
138,9020284722854,74940094,166
139,9020355159601,70436747,49
140,9020430720544,75560943,32
141,9020503297427,72576883,147
142,9020579547213,76249786,77
143,9020647260043,67712830,139
144,9020717631884,70371841,140
145,9020796166080,78534196,192
146,9020864899443,68733363,115
147,9020934454123,69554680,107
148,9021007416868,72962745,36
149,9021078739447,71322579,247
150,9021156363284,77623837,20
151,9021227298496,70935212,192
152,9021306295938,78997442,130
153,9021371100919,64804981,247
154,9021445766352,74665433,208
155,9021526821434,81055082,58
156,9021591253902,64432468,142
157,9021661153468,69899566,188
158,9021732317457,71163989,17
159,9021806262467,73945010,195
160,9021882937341,76674874,253
161,9021954162334,71224993,158
162,9022025507651,71345317,67
163,9022099910998,74403347,86
164,9022170729712,70818714,240
165,9022247402569,76672857,73
166,9022318652862,71250293,190
167,9022390420541,71767679,61
168,9022462103814,71683273,6
169,9022532002828,69899014,12
170,9022608144969,76142141,73
171,9022684261841,76116872,209
172,9022749419283,65157442,19
173,9022824462336,75043053,0
174,9022895304208,70841872,16
175,9022970671882,75367674,10
176,9023047964062,77292180,158
177,9023116575535,68611473,47
178,9023186110965,69535430,245
179,9023258147045,72036080,229
180,9023331282048,73135003,128
181,9023400027401,68745353,9
182,9023476223435,76196034,203
183,9023548339847,72116412,135
184,9023619770690,71430843,66
185,9023694486691,74716001,163
186,9023772789898,78303207,138
187,9023842228569,69438671,89
188,9023913096036,70867467,100
189,9023983810379,70714343,75
190,9024058750994,74940615,18
191,9024135355353,76604359,217
192,9024203682860,68327507,44
193,9024275266791,71583931,231
194,9024347910163,72643372,19
195,9024421602083,73691920,35
196,9024492075414,70473331,150
197,9024569800864,77725450,160
198,9024637110495,67309631,223
199,9024709496630,72386135,54
200,9024783876063,74379433,223
201,9024856610845,72734782,29
202,9024930960029,74349184,157
203,9025000715940,69755911,164
204,9025070918259,70202319,115
205,9025148321950,77403691,158
206,9025221722847,73400897,223
207,9025290519309,68796462,13
208,9025360664850,70145541,18
209,9025433119522,72454672,34
210,9025508564709,75445187,229
211,9025583012377,74447668,25
212,9025654244710,71232333,102
213,9025723929639,69684929,39
214,9025803761487,79831848,79
215,9025874723085,70961598,13
216,9025944378956,69655871,76
217,9026017529913,73150957,57
218,9026085871739,68341826,123
219,9026158492885,72621146,213
220,9026240525210,82032325,154
221,9026305570927,65045717,111
222,9026379596917,74025990,117
223,9026450408412,70811495,220
224,9026521780679,71372267,199
225,9026597745319,75964640,167
226,9026670035751,72290432,39
227,9026744428910,74393159,110
228,9026812343421,67914511,125
229,9026884143444,71800023,84
230,9026960294799,76151355,143
231,9027032976058,72681259,186
232,9027105366168,72390110,152
233,9027174583524,69217356,228
234,9027247877543,73294019,167
235,9027322813019,74935476,91
236,9027400684729,77871710,185
237,9027468296853,67612124,149
238,9027541377128,73080275,104
239,9027611563110,70185982,102
240,9027685057110,73494000,86
241,9027757822246,72765136,38
242,9027833318880,75496634,224
243,9027899463876,66144996,196
244,9027973035794,73571918,18
245,9028048781532,75745738,220
246,9028124747755,75966223,235
247,9028189860763,65113008,155
248,9028265442953,75582190,137
249,9028339004425,73561472,9
250,9028414028745,75024320,201
251,9028483220472,69191727,248
252,9028558492081,75271609,177
253,9028627246092,68754011,12
254,9028697772786,70526694,242
255,9028776377420,78604634,76
256,9028843496994,67119574,34
257,9028916560894,73063900,254
258,9028991510916,74950022,132
259,9029064295371,72784455,203
260,9029140242269,75946898,93
261,9029212260238,72017969,142
262,9029283417831,71157593,231
263,9029355036378,71618547,218
264,9029424767370,69730992,138
265,9029499647965,74880595,221
266,9029569955677,70307712,93
267,9029641638543,71682866,143
268,9029714406631,72768088,231
269,9029791305069,76898438,109
270,9029864037102,72732033,238
271,9029932863142,68826040,166
272,9030007377560,74514418,152
273,9030076782858,69405298,10
274,9030149898189,73115331,205
275,9030225436385,75538196,225
276,9030294232275,68795890,211
277,9030367623045,73390770,133
278,9030439414619,71791574,91
279,9030512450471,73035852,167
280,9030585570960,73120489,144
281,9030657596204,72025244,44
282,9030732728509,75132305,189
283,9030803044725,70316216,117
284,9030878627997,75583272,157
285,9030952363524,73735527,4
286,9031019687760,67324236,80
287,9031093253566,73565806,190
288,9031165555688,72302122,232
289,9031237370154,71814466,42
290,9031315050533,77680379,37
291,9031383049638,67999105,166
292,9031456330005,73280367,21
293,9031530383420,74053415,60
294,9031601024665,70641245,153
295,9031674408358,73383693,166
296,9031743550526,69142168,62
297,9031821334215,77783689,199
298,9031890003795,68669580,83
299,9031965326344,75322549,8
300,9032041442907,76116563,91
301,9032108661815,67218908,55
302,9032182367598,73705783,110
303,9032258102657,75735059,129
304,9032325942841,67840184,57
305,9032402861935,76919094,111
306,9032474331951,71470016,47
307,9032544004386,69672435,34
308,9032615493265,71488879,145
309,9032692348868,76855603,196
310,9032767256339,74907471,19
311,9032838106210,70849871,98
312,9032909107878,71001668,166
313,9032984611757,75503879,173
314,9033050488000,65876243,192
315,9033123992722,73504722,146
316,9033200016475,76023753,91
317,9033273350831,73334356,175
318,9033344882842,71532011,154
319,9033412995485,68112643,157
320,9033489660416,76664931,0
321,9033559369042,69708626,82
322,9033632284159,72915117,255
323,9033707066458,74782299,90
324,9033776059356,68992898,220
325,9033854958946,78899590,98
326,9033924203823,69244877,47
327,9033995428098,71224275,2
328,9034065571127,70143029,55
329,9034140769541,75198414,5
330,9034215185607,74416066,199
331,9034289474274,74288667,226
332,9034357302073,67827799,57
333,9034431077238,73775165,118
334,9034508381274,77304036,90
335,9034578567419,70186145,251
336,9034646441773,67874354,45
337,9034721864062,75422289,126
338,9034792624858,70760796,218
339,9034868370261,75745403,85
340,9034946424939,78054678,107
341,9035015108699,68683760,91
342,9035085982649,70873950,185
343,9035158972493,72989844,77
344,9035227692150,68719657,118
345,9035305468216,77776066,56
346,9035378537495,73069279,23
347,9035449159754,70622259,74
