block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,1000,7.80571,6.79586,236.48,0.79139,5.66226
1,1000,2000,7.79461,6.50635,264.64,0.325952,5.63488
2,2000,3000,7.82447,6.79586,221.12,0.938529,5.70273
3,3000,4000,7.7849,6.50635,268.224,0.272507,5.62337
4,4000,5000,7.80949,6.38082,263.104,0.350254,5.67284
5,5000,6000,7.83021,6.64386,220.608,0.9415,5.71894
6,6000,7000,7.80063,6.26534,253.376,0.516968,5.6442
7,7000,8000,7.7942,6.38082,272.832,0.211446,5.6372
8,8000,9000,7.81283,6.64386,242.112,0.709205,5.67901
9,9000,10000,7.81181,6.64386,239.552,0.748197,5.67562
