block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,10000,7.98428,7.55979,217.83,0.955765,5.18634
1,10000,20000,7.98247,7.31043,245.171,0.659618,5.18687
2,20000,30000,7.98587,7.48036,195.558,0.997734,5.18932
3,30000,40000,7.9818,7.50635,248.704,0.599324,5.19494
4,40000,50000,7.98467,7.48036,212.198,0.976314,5.17643
5,50000,60000,7.98487,7.50635,209.229,0.983508,5.20141
6,60000,70000,7.98469,7.55979,211.482,0.97825,5.18695
7,70000,80000,7.97677,7.53282,309.734,0.0107835,5.1784
8,80000,90000,7.98513,7.55979,206.208,0.988863,5.17278
9,90000,100000,7.98337,7.55979,228.634,0.881144,5.16931
10,100000,110000,7.97622,7.48036,324.838,0.00201305,5.18227
11,110000,120000,7.97559,7.48036,333.542,0.000684272,5.19366
12,120000,130000,7.98209,7.48036,249.421,0.586813,5.19346
13,130000,140000,7.98302,7.50635,233.805,0.825439,5.18525
14,140000,150000,7.9816,7.48036,252.237,0.53716,5.2154
15,150000,160000,7.98583,7.48036,194.893,0.997972,5.18149
16,160000,170000,7.98222,7.42973,242.509,0.702943,5.2049
17,170000,180000,7.98731,7.58727,174.157,0.99997,5.19652
18,180000,190000,7.98141,7.40507,256.691,0.458488,5.19031
19,190000,200000,7.9817,7.50635,251.776,0.54532,5.2112
20,200000,210000,7.98458,7.45482,213.888,0.971192,5.19016
21,210000,220000,7.98417,7.40507,221.67,0.93521,5.17435
22,220000,230000,7.98662,7.55979,183.629,0.999751,5.18679
23,230000,240000,7.984,7.45482,219.571,0.947183,5.18146
24,240000,250000,7.98216,7.31043,250.189,0.573337,5.19493
25,250000,260000,7.97786,7.45482,304.41,0.0183272,5.18381
26,260000,270000,7.97726,7.45482,309.581,0.0109547,5.20297
27,270000,280000,7.98341,7.55979,227.712,0.889651,5.1732
28,280000,290000,7.98389,7.42973,222.234,0.931678,5.19604
29,290000,300000,7.98324,7.55979,230.221,0.865488,5.18622
30,300000,310000,7.97792,7.40507,302.31,0.0223855,5.17755
31,310000,320000,7.97989,7.45482,279.885,0.136229,5.17418
32,320000,330000,7.98495,7.55979,207.232,0.987242,5.17198
33,330000,340000,7.98483,7.45482,210.509,0.980668,5.16513
34,340000,350000,7.98416,7.40507,220.339,0.943016,5.04536
35,350000,360000,7.98457,7.50635,213.069,0.973777,5.37485
36,360000,370000,7.97677,7.38082,320.333,0.00340967,5.00289
37,370000,380000,7.98431,7.50635,217.165,0.958745,5.17456
38,380000,390000,7.97911,7.48036,284.8,0.0966666,5.19904
39,390000,400000,7.98376,7.48036,226.278,0.902042,5.19005
40,400000,410000,7.97594,7.45482,329.754,0.00110522,5.17734
41,410000,420000,7.97652,7.45482,324.429,0.00211374,5.19771
42,420000,430000,7.98527,7.45482,203.75,0.992057,5.19199
43,430000,440000,7.98869,7.40507,155.469,1,5.15488
44,440000,450000,7.98684,7.53282,183.014,0.999781,5.17771
45,450000,460000,7.98555,7.50635,198.477,0.996375,5.19291
46,460000,470000,7.98644,7.50635,187.11,0.999502,5.21346
47,470000,480000,7.98312,7.55979,232.013,0.846275,5.18731
48,480000,490000,7.98462,7.45482,213.274,0.973149,5.21095
49,490000,500000,7.98577,7.48036,196.838,0.997206,5.19221
50,500000,510000,7.98007,7.48036,274.816,0.188027,5.16115
51,510000,520000,7.98446,7.48036,213.939,0.971024,5.18492
52,520000,530000,7.98473,7.48036,210.714,0.980178,5.19505
53,530000,540000,7.98213,7.42973,247.885,0.613527,5.19263
54,540000,550000,7.98661,7.58727,183.526,0.999757,5.19783
55,550000,560000,7.97391,7.24332,356.582,2.72664e-05,5.19019
56,560000,570000,7.98286,7.40507,237.44,0.778344,5.18082
57,570000,580000,7.98677,7.45482,183.526,0.999757,5.19675
58,580000,590000,7.98685,7.58727,181.581,0.999838,5.17756
59,590000,600000,7.98111,7.53282,257.92,0.437098,5.19216
60,600000,610000,7.98482,7.55979,207.693,0.98645,5.19517
61,610000,620000,7.98601,7.45482,191.974,0.998774,5.18453
62,620000,630000,7.98673,7.42973,182.912,0.999786,5.18784
63,630000,640000,7.98389,7.48036,224.282,0.917631,5.20197
64,640000,650000,7.97934,7.33352,286.899,0.0827328,4.96166
65,650000,660000,7.9887,7.58727,154.138,1,5.37354
66,660000,670000,7.97752,7.42973,311.68,0.00881188,5.36947
67,670000,680000,7.97706,7.38082,319.258,0.003854,5.35751
68,680000,690000,7.98462,7.50635,212.915,0.97424,5.35419
69,690000,700000,7.98587,7.55979,195.405,0.997791,5.34363
70,700000,710000,7.96101,7.35698,534.656,9.41717e-22,5.40659
71,710000,720000,7.96983,7.33352,420.685,3.17803e-10,5.36485
72,720000,730000,7.97359,7.45482,363.187,9.87268e-06,5.35211
73,730000,740000,7.98574,7.53282,198.067,0.996601,5.39127
74,740000,750000,7.97223,7.28771,382.899,3.80392e-07,5.3533
75,750000,760000,7.98454,7.38082,214.81,0.968044,5.36661
76,760000,770000,7.9879,7.53282,166.682,0.999996,5.3649
77,770000,780000,7.97995,7.35698,279.27,0.141898,5.38819
78,780000,790000,7.98456,7.48036,215.066,0.967123,5.35629
79,790000,800000,7.98284,7.58727,233.907,0.8242,5.34734
80,800000,810000,7.96477,7.35698,486.323,1.62962e-16,5.36172
81,810000,820000,7.98734,7.53282,174.72,0.999966,5.35897
82,820000,830000,7.98837,7.61529,160.435,0.999999,5.36479
83,830000,840000,7.98706,7.55979,177.229,0.999938,5.35676
84,840000,850000,7.96998,7.45482,408.448,3.53154e-09,5.36985
85,850000,860000,7.96494,7.35698,485.555,1.95688e-16,5.36211
86,860000,870000,7.98332,7.42973,231.706,0.849684,5.36734
87,870000,880000,7.98389,7.48036,222.49,0.930026,5.35386
88,880000,890000,7.98819,7.61529,161.869,0.999999,5.38168
89,890000,900000,7.97154,7.33352,393.139,6.18559e-08,5.3728
