block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,10000,7.98202,7.53282,241.229,0.72294,2.83115
1,10000,20000,7.98065,7.38082,268.211,0.272689,2.81831
2,20000,30000,7.98563,7.42973,198.938,0.996105,2.83421
3,30000,40000,7.98166,7.50635,255.514,0.479166,2.82968
4,40000,50000,7.98239,7.35698,243.891,0.680718,2.82736
5,50000,60000,7.98485,7.50635,206.618,0.988237,2.83026
6,60000,70000,7.98101,7.42973,259.507,0.409847,2.82748
7,70000,80000,7.9833,7.35698,229.35,0.874232,2.82882
8,80000,90000,7.98402,7.53282,221.21,0.937997,2.82956
9,90000,100000,7.98338,7.33352,230.989,0.857454,2.8304
