lag,correlation,mutual_information
1,-0.295736,5.02912
2,-0.39581,5.2153
3,0.699719,5.36641
4,-0.162151,5.3143
5,-0.461998,4.90579
6,0.433047,4.8955
7,0.0047951,5.74074
8,-0.494775,4.88602
9,0.200288,4.75664
10,0.205168,4.9802
11,-0.49422,5.13448
12,0.00108626,4.62478
13,0.438983,4.64553
14,-0.46015,5.31262
15,-0.164516,4.68073
16,0.705559,4.43793
17,-0.392537,4.70156
18,-0.296777,4.92393
19,0.935138,4.38168
20,-0.291617,4.35453
21,-0.395423,4.96106
22,0.689874,4.44324
23,-0.157492,4.18374
24,-0.46073,4.39748
25,0.426206,4.76119
26,0.00999505,4.1366
27,-0.49269,4.10142
28,0.195906,4.63952
29,0.210597,4.24925
30,-0.491321,3.9528
31,-0.00151116,4.13332
32,0.444382,4.57872
33,-0.456501,3.93639
34,-0.165637,3.8682
35,0.71123,4.35695
36,-0.388361,4.08525
37,-0.296714,3.74971
38,0.897651,3.90337
39,-0.286835,4.36237
40,-0.394204,3.76825
41,0.681049,3.66186
42,-0.152279,4.11486
43,-0.458578,3.9546
44,0.42025,3.57948
45,0.0154129,3.7002
46,-0.489713,4.16243
47,0.192491,3.62379
48,0.216532,3.48956
49,-0.487658,3.89746
50,-0.00319328,3.85443
51,0.450704,3.42546
52,-0.452415,3.52327
53,-0.166079,3.96879
54,0.716365,3.50286
55,-0.383741,3.33785
56,-0.295756,3.7055
57,0.857593,3.75488
58,-0.281749,3.29691
59,-0.392283,3.36022
60,0.673061,3.78941
61,-0.146748,3.40226
62,-0.455769,3.20381
63,0.415431,3.5283
64,0.0214089,3.63898
65,-0.486325,3.18646
66,0.189993,3.21585
67,0.223078,3.6277
68,-0.483517,3.32249
69,-0.00407813,3.08561
70,0.457616,3.37293
71,-0.447654,3.51901
72,-0.165538,3.08807
73,0.717094,3.09257
74,-0.378434,3.47258
75,-0.294131,3.26281
76,0.818739,2.97773
77,-0.275883,3.2337
78,-0.389652,3.39668
79,0.664343,3.00841
80,-0.140422,2.97628
81,-0.452342,3.33321
82,0.411437,3.20131
83,0.0282433,2.88524
84,-0.482271,3.10472
85,0.188208,3.28029
86,0.23028,2.9414
87,-0.478768,2.87366
88,-0.00445505,3.20187
89,0.465134,3.12856
90,-0.442354,2.80681
91,-0.164338,2.9891
92,0.70749,3.16982
93,-0.372474,2.88919
94,-0.291648,2.78551
95,0.78119,3.08499
96,-0.269403,3.05028
97,-0.386455,2.73623
98,0.652795,2.88811
99,-0.133497,3.06403
100,-0.448228,2.85194
