block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,10000,7.98179,7.42973,248.755,0.598433,2.82374
1,10000,20000,7.98305,7.48036,234.931,0.811525,2.81577
2,20000,30000,7.98011,7.45482,275.226,0.183412,2.81243
3,30000,40000,7.98238,7.50635,242.765,0.698875,2.8276
4,40000,50000,7.98173,7.53282,251.11,0.557091,2.82404
5,50000,60000,7.98415,7.48036,218.957,0.950346,2.82964
6,60000,70000,7.98325,7.33352,231.347,0.853602,2.82405
7,70000,80000,7.98373,7.35698,226.483,0.900334,2.82743
8,80000,90000,7.98149,7.38082,256.486,0.462073,2.81795
9,90000,100000,7.97999,7.26534,274.304,0.193901,2.82033
