block,start,end,entropy,min_entropy,chi_square,chi_p,lag1_mi
0,0,10000,7.97387,7.35698,366.822,5.55169e-06,5.07677
1,10000,20000,7.98585,7.58727,193.766,0.998325,5.07325
2,20000,30000,7.98511,7.53282,206.208,0.988863,5.06663
3,30000,40000,7.97722,7.42973,310.4,0.0100686,5.0201
4,40000,50000,7.98287,7.53282,234.317,0.819192,5.11285
5,50000,60000,7.98372,7.40507,220.954,0.939506,5.19389
6,60000,70000,7.98679,7.42973,183.168,0.999774,5.18082
7,70000,80000,7.96975,7.35698,417.92,5.52485e-10,5.20251
8,80000,90000,7.97869,7.42973,292.787,0.0519415,5.1669
9,90000,100000,7.98384,7.40507,223.821,0.920959,5.19117
10,100000,110000,7.98226,7.42973,245.478,0.654487,5.1877
11,110000,120000,7.98616,7.48036,191.821,0.998807,5.19233
12,120000,130000,7.98597,7.61529,191.565,0.99886,5.17351
13,130000,140000,7.98497,7.53282,205.798,0.98946,5.17867
14,140000,150000,7.98167,7.38082,252.8,0.527178,5.21012
15,150000,160000,7.98136,7.38082,258.739,0.422974,5.18118
16,160000,170000,7.98449,7.53282,212.966,0.974086,5.20554
17,170000,180000,7.98361,7.42973,225.92,0.904982,5.17298
18,180000,190000,7.98158,7.33352,253.978,0.506308,4.9315
19,190000,200000,7.98396,7.40507,223.002,0.926634,5.18548
20,200000,210000,7.97729,7.40507,310.554,0.00990979,4.95004
21,210000,220000,7.98291,7.45482,236.467,0.791561,4.9829
22,220000,230000,7.98196,7.35698,250.752,0.563417,4.95414
23,230000,240000,7.98456,7.40507,214.605,0.968767,4.94741
24,240000,250000,7.98464,7.45482,213.734,0.971692,5.19687
25,250000,260000,7.9869,7.58727,182.502,0.999803,4.96667
26,260000,270000,7.98442,7.50635,213.478,0.972509,5.18335
27,270000,280000,7.98497,7.55979,206.31,0.988709,4.97138
28,280000,290000,7.98618,7.45482,193.306,0.998452,4.96314
29,290000,300000,7.98089,7.45482,264.986,0.320593,5.06729
30,300000,310000,7.98374,7.48036,226.637,0.89904,4.96985
31,310000,320000,7.98626,7.50635,189.414,0.999229,4.75758
32,320000,330000,7.98498,7.48036,204.467,0.991219,5.16179
33,330000,340000,7.98605,7.50635,192.077,0.998751,5.18012
34,340000,350000,7.98149,7.40507,256.794,0.456698,5.19592
35,350000,360000,7.98569,7.42973,199.245,0.995915,4.96827
36,360000,370000,7.98003,7.50635,273.382,0.204772,4.76374
37,370000,380000,7.97693,7.26534,321.05,0.00314009,5.18281
38,380000,390000,7.98339,7.48036,230.221,0.865488,5.20246
39,390000,400000,7.98501,7.50635,206.003,0.989165,5.2002
40,400000,410000,7.98813,7.58727,164.992,0.999997,5.17612
41,410000,420000,7.97962,7.40507,278.451,0.149715,5.18562
42,420000,430000,7.98336,7.40507,229.76,0.870165,5.19326
43,430000,440000,7.9827,7.45482,238.822,0.758829,5.17507
44,440000,450000,7.9839,7.53282,222.131,0.93233,5.19406
45,450000,460000,7.98032,7.38082,271.334,0.230287,5.17777
46,460000,470000,7.98488,7.48036,207.898,0.986086,5.17035
47,470000,480000,7.98314,7.35698,231.859,0.847985,5.18812
48,480000,490000,7.97073,7.35698,402.611,1.07352e-08,5.18863
49,490000,500000,7.98608,7.53282,191.616,0.99885,5.19459
50,500000,510000,7.98583,7.48036,194.586,0.998074,5.18044
51,510000,520000,7.96165,7.20025,533.99,1.11945e-21,5.17495
52,520000,530000,7.98482,7.53282,210.202,0.981384,5.18893
53,530000,540000,7.98205,7.50635,246.451,0.638082,5.18643
54,540000,550000,7.98431,7.53282,216.499,0.961564,5.18841
55,550000,560000,7.98835,7.53282,160.896,0.999999,5.19411
56,560000,570000,7.97847,7.42973,300.006,0.0277151,5.1876
57,570000,580000,7.97617,7.38082,331.853,0.000848947,5.19182
58,580000,590000,7.9847,7.58727,210.406,0.980909,5.19056
59,590000,600000,7.98516,7.53282,204.518,0.991156,5.16908
60,600000,610000,7.97956,7.35698,283.674,0.104851,5.18443
61,610000,620000,7.98546,7.53282,203.648,0.992171,5.19803
