trial,tsc,rng,low8
0,9885133605647,11071496374043087025,177
1,9885133618322,1139541394507595427,163
2,9885133619450,11061589087782241428,148
3,9885133620395,8516401654646266695,71
4,9885133621370,9736245329595126541,13
5,9885133622136,9610417420531473104,208
6,9885133622945,4496089432881850209,97
7,9885133623709,1218302689520094222,14
8,9885133624463,3835007937971133431,247
9,9885133625256,12396900972034079266,34
10,9885133626108,4670114032618368030,30
11,9885133627046,10787814006884472311,247
12,9885133627924,7172881284596490203,219
13,9885133628859,12618416256865256062,126
14,9885133629755,8172684450847334619,219
15,9885133630692,7798284048469464311,247
16,9885133631473,17155169945844068471,119
17,9885133632338,11362260076746211956,116
18,9885133633198,4924957716682311060,148
19,9885133634066,3731025196967147756,236
20,9885133634822,4708209007977853675,235
21,9885133635901,15715157522954421101,109
22,9885133636755,3074826696317311978,234
23,9885133637513,7677775180519451803,155
24,9885133638264,3659886994759756604,60
25,9885133639051,9091709155500450318,14
26,9885133639831,9818904445896500981,245
27,9885133640587,6968808958338132451,227
28,9885133641331,13923310042335111432,8
29,9885133642215,4884196453056185309,221
30,9885133643030,6093128547321326397,61
31,9885133643815,5234485051082733486,174
32,9885133644562,4069940989123550635,171
33,9885133645323,15614786538833266901,213
34,9885133646162,9175665609669512487,39
35,9885133646950,15178200370650308560,208
36,9885133647794,7854960026834790333,189
37,9885133648554,15042463868701483043,35
38,9885133649432,14808653357482804439,215
39,9885133650316,1077836829201556656,176
40,9885133651060,10198095823978499383,55
41,9885133651944,544322997304597170,178
42,9885133652815,1198530736504532668,188
43,9885133653663,15606900924013129375,159
44,9885133654535,8950655497485471015,39
45,9885133655315,12583387296584711707,27
46,9885133656191,10301525303575642791,167
47,9885133657073,16267709757583560200,8
48,9885133657945,16175605637993896714,10
49,9885133658756,7414208510361853179,251
50,9885133659603,16649010395669801174,214
51,9885133660388,741221371133892484,132
52,9885133661227,11377485796533245363,179
53,9885133661989,14369689303481243371,235
54,9885133662737,1428319527567692375,87
55,9885133663621,11356942378121002098,114
56,9885133664367,15075832967173065135,175
57,9885133665123,11498114783795177832,104
58,9885133665873,15737433110668641551,15
59,9885133666659,5209793810838532847,239
60,9885133667499,3396356571497705718,246
61,9885133668354,12760206050503965378,194
62,9885133669104,10876096672787363465,137
63,9885133669866,3701249867774823780,100
64,9885133670705,6050178908456613208,88
65,9885133671585,12138186842336116661,181
66,9885133672335,12929282860543327820,76
67,9885133673120,6311159062977699190,118
68,9885133673963,8420862730076992833,65
69,9885133674845,3254905547104752623,239
70,9885133675686,2198535485152304970,74
71,9885133676564,374834983190334961,241
72,9885133677410,15207298253434210045,253
73,9885133678265,16220059284755729772,108
74,9885133679015,7618842322304067240,168
75,9885133679865,17706338405170315909,133
76,9885133680708,2986983852416269938,114
77,9885133681562,9822566283605576184,248
78,9885133682308,2094527817387202629,69
79,9885133683098,6648738939397269091,99
80,9885133683879,7840404129448550563,163
81,9885133684635,15702493818093772452,164
82,9885133685478,9927847941849503932,188
83,9885133686238,12818861937266327429,133
84,9885133687079,1878820325526497425,145
85,9885133687841,656813021321079109,69
86,9885133688709,16766682548328937124,164
87,9885133689563,17247880641832749117,61
88,9885133690437,2014814502520185322,234
89,9885133691195,16973521695871757645,77
90,9885133692069,8436664577727640077,13
91,9885133692855,17069394670097337628,28
92,9885133693735,17910160174538981795,163
93,9885133694589,11023899751177954263,215
94,9885133695436,12862424184286525902,206
95,9885133696202,3734727214166015973,229
96,9885133697046,3160316331259216127,255
97,9885133697804,7275659348060279102,62
98,9885133698582,10794880167295171265,193
99,9885133699440,18123020491624574533,69
100,9885133700315,1480082969419637837,77
101,9885133701315,3032786740860468193,225
102,9885133702065,1135126258158983155,243
103,9885133702870,2242199520710776438,118
104,9885133703620,3594626080487156137,169
105,9885133704382,3003358102134333458,18
106,9885133705166,1550850746311709365,181
107,9885133705924,8458734949495078091,203
108,9885133706678,5219953240846203453,61
109,9885133707467,6464911760424291690,106
110,9885133708217,8395589952039646143,191
111,9885133708977,14991272414828684122,90
112,9885133709853,17210353956480857223,135
113,9885133710615,5285463998454179258,186
114,9885133711466,14986695699121015185,145
115,9885133712229,7517708380094617170,82
116,9885133713108,3793825556440909165,109
117,9885133713966,12536112738340769219,195
118,9885133714814,17853039049589741413,101
119,9885133715582,6945302034208708343,247
120,9885133716464,169824660277422470,134
121,9885133717346,15268686335308320466,210
122,9885133718189,7053331654872759935,127
123,9885133719045,5030893977178334802,82
124,9885133719919,11871496376377294505,169
125,9885133720778,2416517221089306082,226
126,9885133721624,4471290392240335697,81
127,9885133722410,7824674349189357950,126
128,9885133723164,11197678718451181795,227
129,9885133724020,4343750501688616473,25
130,9885133724802,13175934063238441605,133
131,9885133725658,3324310320815233825,33
132,9885133726446,9121706318751348105,137
133,9885133727198,11646161140120808992,32
134,9885133728076,1439958678744140230,198
135,9885133728840,14001390656895721118,158
136,9885133729686,15492375112312004445,93
137,9885133730570,3420705387316507799,151
138,9885133731324,10918718280925251557,229
139,9885133732179,17832065970139250046,126
140,9885133733025,3166384944373968717,77
141,9885133733811,11151031239255315687,231
142,9885133734659,14946259555186761471,255
143,9885133735518,17262768946821120141,141
144,9885133736268,4937672166498166460,188
145,9885133737122,9781353842734625133,109
146,9885133737872,3682485731754446673,81
147,9885133738662,8856117918422261345,97
148,9885133739440,9892768254285388395,107
149,9885133740196,13945782602948839979,43
150,9885133741072,14021891824363320954,122
151,9885133741924,4440602375803613542,102
152,9885133742678,18383129611734594926,110
153,9885133743533,3072334742012801869,77
154,9885133744308,9210498625755094319,47
155,9885133745096,1271120936508141601,33
156,9885133745871,16226523027538520690,114
157,9885133746728,8342395195001664338,82
158,9885133747509,5248876763834849553,17
159,9885133748265,12813467163897105832,168
160,9885133749112,15098645933378548599,119
161,9885133749972,528960547776254852,132
162,9885133750813,12659005181529532316,156
163,9885133751669,6011338782915817261,45
164,9885133752423,879751145441466374,6
165,9885133753298,15442834715981057227,203
166,9885133754207,11232893140674576286,158
167,9885133755062,8555152194008942931,83
168,9885133755906,16237179847613407752,8
169,9885133756784,12111918407574742647,119
170,9885133757540,2317710186020171487,223
171,9885133758422,878950422597806781,189
172,9885133759292,8423716835935225451,107
173,9885133760176,9453698900856671435,203
174,9885133760960,3051690851999980848,48
175,9885133761720,4864790720693162715,219
176,9885133762500,253890774949749868,108
177,9885133763352,13657108553464235019,11
178,9885133764230,14189850097035241751,23
179,9885133765116,17955804698900785365,213
180,9885133765968,17180294720810138293,181
181,9885133766825,11579118215871438799,207
182,9885133767585,1002812257002745174,86
183,9885133768439,12997698922832011444,180
184,9885133769195,2395877462568777855,127
185,9885133770075,17244257723252496669,29
186,9885133770859,2936052755870357117,125
187,9885133771747,16225989549315264990,222
188,9885133772501,14752862507692482977,161
189,9885133773269,12789581977539246567,231
190,9885133774019,17976239661873822749,29
191,9885133774808,11605959092508352340,84
192,9885133775592,11236312254138283223,215
193,9885133776363,3987871391679609270,182
194,9885133777210,4814658784036976532,148
195,9885133778072,14003513048950765335,23
196,9885133778862,15426563111065807925,53
197,9885140261411,15753433583523254261,245
198,9885140266180,13279556120375637566,62
199,9885140267351,14429088773631412376,152
200,9885140268318,3699572946365799817,137
201,9885140269139,6183142265352653392,80
202,9885140269867,695869243881474144,96
203,9885140270690,3552486760622297721,121
204,9885140271515,4022908045409585828,164
205,9885140272212,3983915842403789442,130
206,9885140272903,15977192017608911627,11
207,9885140273734,10609400950944493745,177
208,9885140274568,6818044259371770270,158
209,9885140275269,16070730483746454158,142
210,9885140276061,11782959884595784101,165
211,9885140276858,9035931240777494058,42
212,9885140277693,9121989569921705067,107
213,9885140278386,15927640482154913522,242
214,9885140279185,10883914974906448723,83
215,9885140280016,9808459989282074222,110
216,9885140280819,3996441973854752444,188
217,9885140281514,10996495449174272455,199
218,9885140282345,165050891860763800,152
219,9885140283166,2985587980221619489,33
220,9885140283892,1043111631633951777,33
221,9885140284613,12420246147049967077,229
222,9885140285412,11827594206276679815,135
223,9885140286210,12633835226654228060,92
224,9885140287042,5553334333890248887,183
225,9885140287836,4856523588943694758,166
226,9885140288533,16707769981978771873,161
227,9885140289324,9536807993991840119,119
228,9885140290021,8208153922590221634,66
229,9885140290752,2839095000307483997,93
230,9885140291476,14441238244123019764,244
231,9885140292271,1978049838779683399,71
232,9885140293006,2560794954269433663,63
233,9885140293695,14295197887260024330,10
234,9885140294534,6347858207369013023,31
235,9885140295232,9599741409502175013,37
236,9885140295925,7483234312327904831,63
237,9885140296618,5548189431756824345,25
238,9885140297311,5789239719256030202,250
239,9885140298032,9287987297480991463,231
240,9885140298760,3616629435407199635,147
241,9885140299483,5593241837407490037,245
242,9885140300211,3359156656105076343,119
243,9885140300902,8268788318740336346,218
244,9885140301601,11072354870170340298,202
245,9885140302397,1674472680754250335,95
246,9885140303131,17820325943499406699,107
247,9885140303921,2292567877021642170,186
248,9885140304621,6111706648613282808,248
249,9885140305314,9086501346774518897,113
250,9885140306007,10305557727801365603,99
251,9885140306834,3856101867522540229,197
252,9885140307531,5887156290081352031,95
253,9885140308252,18406189353933842303,127
254,9885140309049,8418860521934444918,118
255,9885140309742,9534141344476970389,149
256,9885140310437,7304141592636754605,173
257,9885140311130,14169181623121261735,167
258,9885140311924,15022184321637783646,94
